# Energy loss (eV)	Intensity (arb. units)	Error bar
   -5.8166375000           0.0000000000         0.0000000000
   -5.7468875000           0.0000077061         0.0000206910
   -5.6771375000           0.0000996781         0.0000744155
   -5.6073875000           0.0000037269         0.0000143892
   -5.5376375000           0.0000080565         0.0000211562
   -5.4678875000           0.0000627580         0.0000590471
   -5.3981375000           0.0000908168         0.0000710308
   -5.3283875000           0.0001388488         0.0000878284
   -5.2586375000           0.0001433705         0.0000892470
   -5.1888875000           0.0000570555         0.0000563005
   -5.1191375000           0.0001725607         0.0000979117
   -5.0493875000           0.0001005842         0.0000747530
   -4.9796375000           0.0000660319         0.0000605676
   -4.9098875000           0.0000437708         0.0000493124
   -4.8401375000           0.0001140323         0.0000795935
   -4.7703875000           0.0000640651         0.0000596588
   -4.7006375000           0.0000569758         0.0000562612
   -4.6308875000           0.0001553167         0.0000928908
   -4.5611375000           0.0000196474         0.0000330382
   -4.4913875000           0.0000949981         0.0000726476
   -4.4216375000           0.0000623050         0.0000588336
   -4.3518875000           0.0000437708         0.0000493124
   -4.2821375000           0.0000124787         0.0000263298
   -4.2123875000           0.0001522860         0.0000919801
   -4.1426375000           0.0000069373         0.0000196317
   -4.0728875000           0.0000551025         0.0000553286
   -4.0031375000           0.0000004530         0.0000050168
   -3.9333875000           0.0000072025         0.0000200034
   -3.8636375000           0.0000433178         0.0000490565
   -3.7938875000           0.0000050353         0.0000167254
   -3.7241375000           0.0001168934         0.0000805858
   -3.6543875000           0.0001661467         0.0000960748
   -3.5846375000           0.0001588245         0.0000939339
   -3.5148875000           0.0000733945         0.0000638551
   -3.4451375000           0.0001524174         0.0000920197
   -3.3753875000           0.0001185522         0.0000811556
   -3.3056375000           0.0001145451         0.0000797723
   -3.2358875000           0.0001664258         0.0000961555
   -3.1661375000           0.0001499875         0.0000912833
   -3.0963875000           0.0000059414         0.0000181680
   -3.0266375000           0.0001675267         0.0000964730
   -2.9568875000           0.0000487541         0.0000520439
   -2.8871375000           0.0000131438         0.0000270224
   -2.8173875000           0.0001723587         0.0000978544
   -2.7476375000           0.0001588568         0.0000939435
   -2.6778875000           0.0000576213         0.0000565790
   -2.6081375000           0.0001111111         0.0000785674
   -2.5383875000           0.0001013935         0.0000750531
   -2.4686375000           0.0000572167         0.0000563800
   -2.3988875000           0.0000080565         0.0000211562
   -2.3291375000           0.0001103561         0.0000783000
   -2.2593875000           0.0001038096         0.0000759421
   -2.1896375000           0.0000917463         0.0000713934
   -2.1198875000           0.0002993774         0.0001289654
   -2.0501375000           0.0002374655         0.0001148587
   -1.9803875000           0.0001696359         0.0000970784
   -1.9106375000           0.0001997608         0.0001053462
   -1.8408875000           0.0000650130         0.0000600985
   -1.7711375000           0.0000444971         0.0000497198
   -1.7013875000           0.0000191150         0.0000325875
   -1.6316375000           0.0001574551         0.0000935281
   -1.5618875000           0.0000975926         0.0000736330
   -1.4921375000           0.0000788988         0.0000662062
   -1.4223875000           0.0001899247         0.0001027199
   -1.3526375000           0.0004391911         0.0001562034
   -1.2828875000           0.0002481535         0.0001174151
   -1.2131375000           0.0001053485         0.0000765029
   -1.1433875000           0.0001843418         0.0001011989
   -1.0736375000           0.0004428063         0.0001568450
   -1.0038875000           0.0002046336         0.0001066233
   -0.9341375000           0.0001640511         0.0000954670
   -0.8643875000           0.0000682934         0.0000615961
   -0.7946375000           0.0001196818         0.0000815413
   -0.7248875000           0.0002249232         0.0001117843
   -0.6551375000           0.0001741894         0.0000983727
   -0.5853875000           0.0003662409         0.0001426419
   -0.5156375000           0.0003361068         0.0001366477
   -0.4458875000           0.0004119876         0.0001512885
   -0.3761375000           0.0006537258         0.0001905731
   -0.3063875000           0.0006073038         0.0001836821
   -0.2366375000           0.0004422401         0.0001567447
   -0.1668875000           0.0006078582         0.0001837659
   -0.0971375000           0.0024543303         0.0003692583
   -0.0273875000           0.0220839765         0.0011076496
    0.0423625000           0.0144998793         0.0008975237
    0.1121125000           0.0028824212         0.0004001681
    0.1818625000           0.0016903338         0.0003064432
    0.2516125000           0.0012632563         0.0002649168
    0.3213625000           0.0014157955         0.0002804555
    0.3911125000           0.0013658541         0.0002754647
    0.4608625000           0.0018131058         0.0003173769
    0.5306125000           0.0020776145         0.0003397396
    0.6003625000           0.0010885337         0.0002459148
    0.6701125000           0.0017930920         0.0003156204
    0.7398625000           0.0017420204         0.0003110931
    0.8096125000           0.0020709417         0.0003391936
    0.8793625000           0.0020694101         0.0003390682
    0.9491125000           0.0025123171         0.0003735949
    1.0188625000           0.0031373568         0.0004174896
    1.0886125000           0.0033220300         0.0004296012
    1.1583625000           0.0032348300         0.0004239254
    1.2281125000           0.0037348879         0.0004555148
    1.2978625000           0.0036981722         0.0004532704
    1.3676125000           0.0050416752         0.0005292382
    1.4373625000           0.0045752783         0.0005041648
    1.5071125000           0.0060908799         0.0005817063
    1.5768625000           0.0064438663         0.0005983248
    1.6466125000           0.0071312952         0.0006294307
    1.7163625000           0.0091598676         0.0007133593
    1.7861125000           0.0080484840         0.0006686838
    1.8558625000           0.0087436396         0.0006969632
    1.9256125000           0.0089440564         0.0007049057
    1.9953625000           0.0085455623         0.0006890236
    2.0651125000           0.0102027711         0.0007528749
    2.1348625000           0.0086103931         0.0006916323
    2.2046125000           0.0089718536         0.0007060002
    2.2743625000           0.0090113828         0.0007075538
    2.3441125000           0.0090083133         0.0007074333
    2.4138625000           0.0072890915         0.0006363564
    2.4836125000           0.0074522547         0.0006434393
    2.5533625000           0.0071367078         0.0006296696
    2.6231125000           0.0061119253         0.0005827104
    2.6928625000           0.0059407126         0.0005744907
    2.7626125000           0.0057048031         0.0005629685
    2.8323625000           0.0063453067         0.0005937315
    2.9021125000           0.0052391329         0.0005395025
    2.9718625000           0.0052097967         0.0005379899
    3.0416125000           0.0045179762         0.0005009977
    3.1113625000           0.0049969045         0.0005268831
    3.1811125000           0.0042281087         0.0004846596
    3.2508625000           0.0050086069         0.0005274997
    3.3206125000           0.0044426612         0.0004968043
    3.3903625000           0.0036896904         0.0004527503
    3.4601125000           0.0032869475         0.0004273268
    3.5298625000           0.0040168562         0.0004723967
    3.5996125000           0.0038012543         0.0004595441
    3.6693625000           0.0038879064         0.0004647524
    3.7391125000           0.0030313161         0.0004103736
    3.8088625000           0.0030972257         0.0004148109
    3.8786125000           0.0027984760         0.0003942980
    3.9483625000           0.0027454074         0.0003905415
    4.0181125000           0.0027651183         0.0003919409
    4.0878625000           0.0030821326         0.0004137990
    4.1576125000           0.0036401338         0.0004496995
    4.2273625000           0.0032601907         0.0004255840
    4.2971125000           0.0033168146         0.0004292639
    4.3668625000           0.0028366912         0.0003969811
    4.4366125000           0.0032974494         0.0004280089
    4.5063625000           0.0032770793         0.0004266848
    4.5761125000           0.0034113203         0.0004353364
    4.6458625000           0.0034422027         0.0004373025
    4.7156125000           0.0027058117         0.0003877149
    4.7853625000           0.0026155419         0.0003811927
    4.8551125000           0.0030376670         0.0004108032
    4.9248625000           0.0033017206         0.0004282860
    4.9946125000           0.0032544884         0.0004252116
    5.0643625000           0.0019350156         0.0003278732
    5.1341125000           0.0028310182         0.0003965839
    5.2038625000           0.0026679647         0.0003849938
    5.2736125000           0.0026558033         0.0003841154
    5.3433625000           0.0022921104         0.0003568466
    5.4131125000           0.0025767321         0.0003783540
    5.4828625000           0.0020470852         0.0003372343
    5.5526125000           0.0025251567         0.0003745484
    5.6223625000           0.0022365982         0.0003524989
    5.6921125000           0.0022078128         0.0003502232
    5.7618625000           0.0023140531         0.0003585506
    5.8316125000           0.0028492339         0.0003978577
    5.9013625000           0.0023136497         0.0003585193
    5.9711125000           0.0025698820         0.0003778508
    6.0408625000           0.0025514339         0.0003764921
    6.1106125000           0.0024158632         0.0003663531
    6.1803625000           0.0027283555         0.0003893267
    6.2501125000           0.0021342548         0.0003443395
    6.3198625000           0.0018535815         0.0003208999
    6.3896125000           0.0021994387         0.0003495583
    6.4593625000           0.0019047729         0.0003253010
    6.5291125000           0.0020892107         0.0003406865
    6.5988625000           0.0020409526         0.0003367288
    6.6686125000           0.0023822618         0.0003637965
    6.7383625000           0.0021980797         0.0003494503
    6.8081125000           0.0022990400         0.0003573856
    6.8778625000           0.0021446829         0.0003451797
    6.9476125000           0.0025340274         0.0003752057
    7.0173625000           0.0024611364         0.0003697699
    7.0871125000           0.0021062294         0.0003420713
    7.1568625000           0.0026856293         0.0003862663
    7.2266125000           0.0021542370         0.0003459477
    7.2963625000           0.0026295935         0.0003822153
    7.3661125000           0.0018444197         0.0003201059
    7.4358625000           0.0019417203         0.0003284408
    7.5056125000           0.0020707889         0.0003391811
    7.5753625000           0.0015794663         0.0002962231
    7.6451125000           0.0025824361         0.0003787726
    7.7148625000           0.0020583513         0.0003381610
    7.7846125000           0.0026503287         0.0003837193
    7.8543625000           0.0021567851         0.0003461523
    7.9241125000           0.0014103427         0.0002799149
    7.9938625000           0.0016710534         0.0003046905
    8.0636125000           0.0020645211         0.0003386674
    8.1333625000           0.0015098797         0.0002896242
    8.2031125000           0.0014835983         0.0002870925
    8.2728625000           0.0017755482         0.0003140725
    8.3426125000           0.0014011248         0.0002789987
    8.4123625000           0.0012469323         0.0002631996
    8.4821125000           0.0011581295         0.0002536543
    8.5518625000           0.0015483932         0.0002932948
    8.6216125000           0.0011359980         0.0002512190
    8.6913625000           0.0010493450         0.0002414476
