# Energy loss (eV)	Intensity (arb. units)	Error bar
   -1.2207800000           0.0031429027         0.0003888611
   -1.1504300000           0.0044165545         0.0004609681
   -1.0800800000           0.0040832648         0.0004432338
   -1.0097300000           0.0039975806         0.0004385586
   -0.9393800000           0.0045227505         0.0004664772
   -0.8690300000           0.0048053847         0.0004808318
   -0.7986800000           0.0046565569         0.0004733273
   -0.7283300000           0.0039893476         0.0004381068
   -0.6579800000           0.0058575604         0.0005308691
   -0.5876300000           0.0045428721         0.0004675137
   -0.5172800000           0.0038939416         0.0004328364
   -0.4469300000           0.0054202944         0.0005106702
   -0.3765800000           0.0055033849         0.0005145695
   -0.3062300000           0.0055640149         0.0005173962
   -0.2358800000           0.0059687218         0.0005358827
   -0.1655300000           0.0060592716         0.0005399323
   -0.0951800000           0.0097451556         0.0006847365
   -0.0248300000           0.1136755497         0.0023386358
    0.0455200000           0.2104326791         0.0031818936
    0.1158700000           0.1560690036         0.0027402324
    0.1862200000           0.0971332170         0.0021617872
    0.2565700000           0.0662459355         0.0017852896
    0.3269200000           0.0545039922         0.0016193593
    0.3972700000           0.0468766307         0.0015017833
    0.4676200000           0.0511342815         0.0015685022
    0.5379700000           0.0632258145         0.0017441197
    0.6083200000           0.0703895523         0.0018402769
    0.6786700000           0.0745251818         0.0018935666
    0.7490200000           0.0776953968         0.0019334222
    0.8193700000           0.0808856290         0.0019727168
    0.8897200000           0.0850267113         0.0020225849
    0.9600700000           0.0888312886         0.0020673407
    1.0304200000           0.0894455728         0.0020744763
    1.1007700000           0.0923068666         0.0021073956
    1.1711200000           0.0978548433         0.0021698026
    1.2414700000           0.1044108959         0.0022413102
    1.3118200000           0.1018781443         0.0022139590
    1.3821700000           0.1020695597         0.0022160379
    1.4525200000           0.1040481452         0.0022374134
    1.5228700000           0.1070381799         0.0022693340
    1.5932200000           0.1083838470         0.0022835543
    1.6635700000           0.1180210665         0.0023829165
    1.7339200000           0.1213248119         0.0024160386
    1.8042700000           0.1193258014         0.0023960520
    1.8746200000           0.1169346886         0.0023719239
    1.9449700000           0.1124265254         0.0023257523
    2.0153200000           0.1050741800         0.0022484181
    2.0856700000           0.0934327244         0.0021202085
    2.1560200000           0.0908096430         0.0020902347
    2.2263700000           0.0853971294         0.0020269858
    2.2967200000           0.0881732492         0.0020596693
    2.3670700000           0.0831642581         0.0020003105
    2.4374200000           0.0806821159         0.0019702335
    2.5077700000           0.0783459934         0.0019415003
    2.5781200000           0.0821574192         0.0019881652
    2.6484700000           0.0775197523         0.0019312356
    2.7188200000           0.0823538079         0.0019905400
    2.7891700000           0.0843577549         0.0020146127
    2.8595200000           0.0832539164         0.0020013885
    2.9298700000           0.0863743261         0.0020385501
    3.0002200000           0.0898581009         0.0020792546
    3.0705700000           0.0933784101         0.0021195921
    3.1409200000           0.1002507662         0.0021962052
    3.2112700000           0.1035030674         0.0022315451
    3.2816200000           0.1141588185         0.0023436017
    3.3519700000           0.1268787710         0.0024707201
    3.4223200000           0.1425308557         0.0026186865
    3.4926700000           0.1748679956         0.0029005759
    3.5630200000           0.2219957575         0.0032681456
    3.6333700000           0.2939478304         0.0037606611
    3.7037200000           0.3795628027         0.0042733738
    3.7740700000           0.4814990139         0.0048131208
    3.8444200000           0.5669234082         0.0052226540
    3.9147700000           0.6212308730         0.0054670819
    3.9851200000           0.6566695588         0.0056208566
    4.0554700000           0.6491794904         0.0055887085
    4.1258200000           0.6297472802         0.0055044282
    4.1961700000           0.5802732385         0.0052837874
    4.2665200000           0.5329138832         0.0050635789
