# Energy loss (eV)	Intensity (arb. units)	Error bar
   -1.2180900000           0.0032323348         0.0004288180
   -1.1477400000           0.0049207218         0.0005290896
   -1.0773900000           0.0052364902         0.0005458018
   -1.0070400000           0.0045173010         0.0005069374
   -0.9366900000           0.0048653494         0.0005261043
   -0.8663400000           0.0057310160         0.0005709928
   -0.7959900000           0.0056427396         0.0005665782
   -0.7256400000           0.0050663147         0.0005368598
   -0.6552900000           0.0063466891         0.0006008810
   -0.5849400000           0.0053393020         0.0005511338
   -0.5145900000           0.0061479991         0.0005914006
   -0.4442400000           0.0065715572         0.0006114332
   -0.3738900000           0.0076712556         0.0006606144
   -0.3035400000           0.0074484685         0.0006509511
   -0.2331900000           0.0071455815         0.0006375785
   -0.1628400000           0.0077627329         0.0006645416
   -0.0924900000           0.0161642467         0.0009589425
   -0.0221400000           0.2600780941         0.0038465088
    0.0482100000           0.2602524974         0.0038477983
    0.1185600000           0.1809779849         0.0032086897
    0.1889100000           0.1093041003         0.0024936361
    0.2592600000           0.0758460068         0.0020772138
    0.3296100000           0.0613215704         0.0018677617
    0.3999600000           0.0562657290         0.0017891091
    0.4703100000           0.0557751109         0.0017812918
    0.5406600000           0.0638785698         0.0019063052
    0.6110100000           0.0742870369         0.0020557550
    0.6813600000           0.0800549134         0.0021340709
    0.7517100000           0.0844292335         0.0021915999
    0.8220600000           0.0891484670         0.0022520176
    0.8924100000           0.0900994909         0.0022639978
    0.9627600000           0.0961813376         0.0023391617
    1.0331100000           0.0976292420         0.0023567027
    1.1034600000           0.1036899119         0.0024287516
    1.1738100000           0.1109046387         0.0025118268
    1.2441600000           0.1149566340         0.0025573011
    1.3145100000           0.1171030844         0.0025810654
    1.3848600000           0.1192743651         0.0026048841
    1.4552100000           0.1135631898         0.0025417547
    1.5255600000           0.1173658691         0.0025839598
    1.5959100000           0.1233717994         0.0026492491
    1.6662600000           0.1278690825         0.0026971035
    1.7366100000           0.1297101637         0.0027164508
    1.8069600000           0.1319986622         0.0027403094
    1.8773100000           0.1311001091         0.0027309665
    1.9476600000           0.1283988082         0.0027026844
    2.0180100000           0.1249799585         0.0026664597
    2.0883600000           0.1166505480         0.0025760734
    2.1587100000           0.1135960165         0.0025421220
    2.2290600000           0.1104841443         0.0025070605
    2.2994100000           0.1003492679         0.0023893069
    2.3697600000           0.0948513055         0.0023229320
    2.4401100000           0.0925360215         0.0022944059
    2.5104600000           0.0928578370         0.0022983921
    2.5808100000           0.0883116791         0.0022414235
    2.6511600000           0.0953802848         0.0023294004
    2.7215100000           0.0933324380         0.0023042582
    2.7918600000           0.0930592507         0.0023008834
    2.8622100000           0.0970169829         0.0023493013
    2.9325600000           0.0952197621         0.0023274394
    3.0029100000           0.0996830077         0.0023813619
    3.0732600000           0.1007072425         0.0023935648
    3.1436100000           0.1064889077         0.0024613140
    3.2139600000           0.1142882733         0.0025498561
    3.2843100000           0.1280404929         0.0026989107
    3.3546600000           0.1397430861         0.0028195513
    3.4250100000           0.1587450129         0.0030051412
    3.4953600000           0.1806631494         0.0032058975
    3.5657100000           0.2250311650         0.0035779657
    3.6360600000           0.2892427375         0.0040564495
    3.7064100000           0.3801527317         0.0046504384
    3.7767600000           0.4778624002         0.0052139429
    3.8471100000           0.5892982185         0.0057900512
    3.9174600000           0.6572373087         0.0061147111
    3.9878100000           0.7114897182         0.0063620804
    4.0581600000           0.7284991472         0.0064376797
    4.1285100000           0.7081690232         0.0063472164
    4.1988600000           0.6515977928         0.0060884206
    4.2692100000           0.5902103216         0.0057945303
    4.3395600000           0.5460478674         0.0055735281
    4.4099100000           0.4969501289         0.0053170561
    4.4802600000           0.4704308969         0.0051732416
    4.5506100000           0.4400029649         0.0050031399
    4.6209600000           0.4073992993         0.0048142094
    4.6913100000           0.4046927165         0.0047981910
    4.7616600000           0.3901871038         0.0047114143
    4.8320100000           0.3944623696         0.0047371554
    4.9023600000           0.3895388781         0.0047074991
    4.9727100000           0.3905204331         0.0047134263
    5.0430600000           0.4002814244         0.0047719684
    5.1134100000           0.4054721726         0.0048028096
    5.1837600000           0.4022171285         0.0047834928
    5.2541100000           0.4111542798         0.0048363447
    5.3244600000           0.4188549783         0.0048814257
    5.3948100000           0.4278327320         0.0049334627
    5.4651600000           0.4355740431         0.0049778962
    5.5355100000           0.4403919516         0.0050053509
    5.6058600000           0.4480717774         0.0050488055
    5.6762100000           0.4462592108         0.0050385832
    5.7465600000           0.4490137867         0.0050541099
    5.8169100000           0.4543076965         0.0050838168
    5.8872600000           0.4573043830         0.0051005560
    5.9576100000           0.4480209382         0.0050485190
    6.0279600000           0.4486893305         0.0050522835
    6.0983100000           0.4445498223         0.0050289239
    6.1686600000           0.4432632409         0.0050216414
    6.2390100000           0.4329483969         0.0049628701
    6.3093600000           0.4243960028         0.0049136077
    6.3797100000           0.4020199360         0.0047823200
    6.4500600000           0.3897463688         0.0047087527
    6.5204100000           0.3801906915         0.0046506706
    6.5907600000           0.3721924200         0.0046014913
    6.6611100000           0.3711646460         0.0045951336
    6.7314600000           0.3542627903         0.0044892895
    6.8018100000           0.3552760366         0.0044957049
    6.8721600000           0.3487051123         0.0044539363
    6.9425100000           0.3434931968         0.0044205256
    7.0128600000           0.3305348397         0.0043363414
    7.0832100000           0.3153163333         0.0042353380
    7.1535600000           0.3113050807         0.0042083121
    7.2239100000           0.2879200630         0.0040471640
    7.2942600000           0.2745835517         0.0039523200
    7.3646100000           0.2572002380         0.0038251681
    7.4349600000           0.2470680049         0.0037490661
    7.5053100000           0.2291848247         0.0036108361
    7.5756600000           0.2095629198         0.0034528051
    7.6460100000           0.1966004255         0.0033443142
    7.7163600000           0.1809409269         0.0032083611
    7.7867100000           0.1705427905         0.0031148097
    7.8570600000           0.1619466266         0.0030352942
    7.9274100000           0.1452601386         0.0028746705
    7.9977600000           0.1339982469         0.0027609872
    8.0681100000           0.1238270630         0.0026541327
    8.1384600000           0.1096138614         0.0024971670
    8.2088100000           0.1049025926         0.0024429127
    8.2791600000           0.0930369680         0.0023006079
    8.3495100000           0.0927746447         0.0022973623
    8.4198600000           0.0852713845         0.0022025029
    8.4902100000           0.0762675511         0.0020829783
    8.5605600000           0.0692087376         0.0019842450
    8.6309100000           0.0641181238         0.0019098763
    8.7012600000           0.0602483435         0.0018513452
    8.7716100000           0.0574858762         0.0018084038
    8.8419600000           0.0550698332         0.0017699937
    8.9123100000           0.0499937005         0.0016864462
    8.9826600000           0.0461470520         0.0016202679
    9.0530100000           0.0460246300         0.0016181173
    9.1233600000           0.0413972519         0.0015346191
    9.1937100000           0.0411829768         0.0015306423
    9.2640600000           0.0404875355         0.0015176636
    9.3344100000           0.0347622649         0.0014062705
    9.4047600000           0.0337049778         0.0013847197
    9.4751100000           0.0312635925         0.0013336267
    9.5454600000           0.0298526889         0.0013031865
    9.6158100000           0.0293314418         0.0012917592
