# Energy loss (eV)	Intensity (arb. units)	Error bar
   -6.0149625000           0.0000074215         0.0000203052
   -5.9452125000           0.0000443899         0.0000496599
   -5.8754625000           0.0000037442         0.0000144226
   -5.8057125000           0.0000079470         0.0000210119
   -5.7359625000           0.0000553215         0.0000554384
   -5.6662125000           0.0001033981         0.0000757914
   -5.5964625000           0.0000573503         0.0000564458
   -5.5267125000           0.0000634957         0.0000593931
   -5.4569625000           0.0001094327         0.0000779717
   -5.3872125000           0.0000474990         0.0000513696
   -5.3174625000           0.0000005867         0.0000057092
   -5.2477125000           0.0001202594         0.0000817378
   -5.1779625000           0.0000458206         0.0000504538
   -5.1082125000           0.0000004530         0.0000050168
   -5.0384625000           0.0001106581         0.0000784071
   -4.9687125000           0.0000001533         0.0000029183
   -4.8989625000           0.0000171655         0.0000308811
   -4.8292125000           0.0001543311         0.0000925956
   -4.7594625000           0.0000586288         0.0000570715
   -4.6897125000           0.0001030546         0.0000756654
   -4.6199625000           0.0000000000         0.0000000000
   -4.5502125000           0.0000000000         0.0000000000
   -4.4804625000           0.0000079908         0.0000210698
   -4.4107125000           0.0001028862         0.0000756036
   -4.3409625000           0.0000091943         0.0000226008
   -4.2712125000           0.0001021508         0.0000753329
   -4.2014625000           0.0000002847         0.0000039769
   -4.1317125000           0.0000159437         0.0000297617
   -4.0619625000           0.0001634124         0.0000952810
   -3.9922125000           0.0000977496         0.0000736922
   -3.9224625000           0.0000053706         0.0000172734
   -3.8527125000           0.0001064125         0.0000768883
   -3.7829625000           0.0000097350         0.0000232558
   -3.7132125000           0.0000713839         0.0000629744
   -3.6434625000           0.0001568222         0.0000933399
   -3.5737125000           0.0001500176         0.0000912924
   -3.5039625000           0.0000178814         0.0000315184
   -3.4342125000           0.0002694388         0.0001223471
   -3.3644625000           0.0001022142         0.0000753563
   -3.2947125000           0.0000209212         0.0000340923
   -3.2249625000           0.0001447126         0.0000896638
   -3.1552125000           0.0000066225         0.0000191812
   -3.0854625000           0.0001146351         0.0000798036
   -3.0157125000           0.0000554023         0.0000554789
   -2.9459625000           0.0000614382         0.0000584229
   -2.8762125000           0.0001520415         0.0000919062
   -2.8064625000           0.0000619349         0.0000586586
   -2.7367125000           0.0001210491         0.0000820058
   -2.6669625000           0.0001204724         0.0000818102
   -2.5972125000           0.0002069126         0.0001072154
   -2.5274625000           0.0001059607         0.0000767249
   -2.4577125000           0.0001058281         0.0000766768
   -2.3879625000           0.0000232474         0.0000359378
   -2.3182125000           0.0002142233         0.0001090931
   -2.2484625000           0.0000953220         0.0000727713
   -2.1787125000           0.0000687856         0.0000618177
   -2.1089625000           0.0001183560         0.0000810884
   -2.0392125000           0.0001684696         0.0000967441
   -1.9694625000           0.0001518366         0.0000918443
   -1.8997125000           0.0000549388         0.0000552463
   -1.8299625000           0.0001603762         0.0000943917
   -1.7602125000           0.0001449408         0.0000897344
   -1.6904625000           0.0003115244         0.0001315557
   -1.6207125000           0.0002114556         0.0001083860
   -1.5509625000           0.0001239689         0.0000829889
   -1.4812125000           0.0002291409         0.0001128275
   -1.4114625000           0.0001620027         0.0000948691
   -1.3417125000           0.0002263282         0.0001121329
   -1.2719625000           0.0002188621         0.0001102679
   -1.2022125000           0.0002573740         0.0001195766
   -1.1324625000           0.0000693171         0.0000620560
   -1.0627125000           0.0001234027         0.0000827992
   -0.9929625000           0.0002596416         0.0001201022
   -0.9232125000           0.0004264051         0.0001539129
   -0.8534625000           0.0003698548         0.0001433439
   -0.7837125000           0.0002771655         0.0001240890
   -0.7139625000           0.0004153988         0.0001519135
   -0.6442125000           0.0004686599         0.0001613588
   -0.5744625000           0.0004984151         0.0001664023
   -0.5047125000           0.0006560914         0.0001909176
   -0.4349625000           0.0007210301         0.0002001430
   -0.3652125000           0.0006360785         0.0001879832
   -0.2954625000           0.0004878927         0.0001646364
   -0.2257125000           0.0006494528         0.0001899492
   -0.1559625000           0.0007174120         0.0001996402
   -0.0862125000           0.0025139524         0.0003737165
   -0.0164625000           0.0261575818         0.0012054870
    0.0532875000           0.0077099991         0.0006544718
    0.1230375000           0.0015502148         0.0002934673
    0.1927875000           0.0012717494         0.0002658058
    0.2625375000           0.0012645192         0.0002650492
    0.3322875000           0.0013393678         0.0002727807
    0.4020375000           0.0009324424         0.0002276013
    0.4717875000           0.0011287076         0.0002504116
    0.5415375000           0.0010006743         0.0002357817
    0.6112875000           0.0012674064         0.0002653516
    0.6810375000           0.0017018068         0.0003074814
    0.7507875000           0.0017525445         0.0003120314
    0.8205375000           0.0013558165         0.0002744506
    0.8902875000           0.0016423713         0.0003020643
    0.9600375000           0.0020914804         0.0003408715
    1.0297875000           0.0019600269         0.0003299854
    1.0995375000           0.0022100300         0.0003503990
    1.1692875000           0.0019702236         0.0003308427
    1.2390375000           0.0028967133         0.0004011590
    1.3087875000           0.0027727926         0.0003924844
    1.3785375000           0.0032320973         0.0004237463
    1.4482875000           0.0039367465         0.0004676624
    1.5180375000           0.0043583083         0.0004920653
    1.5877875000           0.0054166345         0.0005485655
    1.6575375000           0.0051653017         0.0005356876
    1.7272875000           0.0050572389         0.0005300544
    1.7970375000           0.0047266358         0.0005124362
    1.8667875000           0.0056738198         0.0005614376
    1.9365375000           0.0060726701         0.0005808361
    2.0062875000           0.0065484349         0.0006031600
    2.0760375000           0.0070843624         0.0006273561
    2.1457875000           0.0051717608         0.0005360224
    2.2155375000           0.0056798888         0.0005617378
    2.2852875000           0.0057888209         0.0005670989
    2.3550375000           0.0049352622         0.0005236232
    2.4247875000           0.0048920658         0.0005213266
    2.4945375000           0.0045791029         0.0005043755
    2.5642875000           0.0053363443         0.0005444847
    2.6340375000           0.0043215256         0.0004899844
    2.7037875000           0.0038167421         0.0004604793
    2.7735375000           0.0040169872         0.0004724044
    2.8432875000           0.0038665666         0.0004634752
    2.9130375000           0.0040853937         0.0004764098
    2.9827875000           0.0028877337         0.0004005367
    3.0525375000           0.0036078297         0.0004476997
    3.1222875000           0.0024540466         0.0003692369
    3.1920375000           0.0026954641         0.0003869729
    3.2617875000           0.0023798015         0.0003636086
    3.3315375000           0.0025950439         0.0003796961
    3.4012875000           0.0018803022         0.0003232046
    3.4710375000           0.0021898634         0.0003487966
    3.5407875000           0.0027584061         0.0003914649
    3.6105375000           0.0021083947         0.0003422470
    3.6802875000           0.0028417220         0.0003973329
    3.7500375000           0.0023306761         0.0003598361
    3.8197875000           0.0032453269         0.0004246127
    3.8895375000           0.0022636454         0.0003546239
    3.9592875000           0.0024042007         0.0003654678
    4.0290375000           0.0020582129         0.0003381496
    4.0987875000           0.0017657050         0.0003132008
    4.1685375000           0.0020071205         0.0003339262
    4.2382875000           0.0018370328         0.0003194642
    4.3080375000           0.0018733930         0.0003226103
    4.3777875000           0.0017874935         0.0003151273
    4.4475375000           0.0020598795         0.0003382865
    4.5172875000           0.0020299240         0.0003358177
    4.5870375000           0.0023560069         0.0003617862
    4.6567875000           0.0021786031         0.0003478987
    4.7265375000           0.0024313334         0.0003675243
    4.7962875000           0.0023961935         0.0003648587
    4.8660375000           0.0017911325         0.0003154479
    4.9357875000           0.0017175384         0.0003088993
    5.0055375000           0.0018573396         0.0003212251
    5.0752875000           0.0015259867         0.0002911650
    5.1450375000           0.0011336528         0.0002509596
    5.2147875000           0.0018134587         0.0003174078
    5.2845375000           0.0020627455         0.0003385217
    5.3542875000           0.0016468080         0.0003024720
    5.4240375000           0.0020470750         0.0003372334
    5.4937875000           0.0021461916         0.0003453011
    5.5635375000           0.0014447520         0.0002833090
    5.6332875000           0.0018111280         0.0003172038
    5.7030375000           0.0017813723         0.0003145872
    5.7727875000           0.0014802582         0.0002867692
    5.8425375000           0.0014276509         0.0002816273
    5.9122875000           0.0018318129         0.0003190100
    5.9820375000           0.0015936572         0.0002975508
    6.0517875000           0.0018808063         0.0003232480
    6.1215375000           0.0017003542         0.0003073502
    6.1912875000           0.0019293620         0.0003273939
    6.2610375000           0.0016160584         0.0002996348
    6.3307875000           0.0016625646         0.0003039156
    6.4005375000           0.0015939827         0.0002975812
    6.4702875000           0.0022023105         0.0003497865
    6.5400375000           0.0018244489         0.0003183681
    6.6097875000           0.0019076265         0.0003255445
    6.6795375000           0.0020828700         0.0003401691
    6.7492875000           0.0017762450         0.0003141342
    6.8190375000           0.0014753241         0.0002862908
    6.8887875000           0.0013902628         0.0002779151
    6.9585375000           0.0020021110         0.0003335092
    7.0282875000           0.0013364203         0.0002724804
    7.0980375000           0.0016526549         0.0003030085
    7.1677875000           0.0014371106         0.0002825588
    7.2375375000           0.0022007672         0.0003496639
    7.3072875000           0.0016831790         0.0003057940
    7.3770375000           0.0019464671         0.0003288420
    7.4467875000           0.0018661212         0.0003219835
    7.5165375000           0.0017871095         0.0003150934
    7.5862875000           0.0015938658         0.0002975703
    7.6560375000           0.0015249374         0.0002910648
    7.7257875000           0.0013967809         0.0002785659
    7.7955375000           0.0017187732         0.0003090104
    7.8652875000           0.0012641245         0.0002650078
    7.9350375000           0.0015662079         0.0002949772
    8.0047875000           0.0011029002         0.0002475323
    8.0745375000           0.0009982676         0.0002354980
    8.1442875000           0.0013242517         0.0002712371
    8.2140375000           0.0012532681         0.0002638674
    8.2837875000           0.0016254514         0.0003005043
    8.3535375000           0.0009614902         0.0002311193
    8.4232875000           0.0010652376         0.0002432691
    8.4930375000           0.0011242406         0.0002499156
    8.5627875000           0.0014099625         0.0002798772
    8.6325375000           0.0011679472         0.0002547272
    8.7022875000           0.0008612243         0.0002187368
    8.7720375000           0.0009626474         0.0002312583
    8.8417875000           0.0011461521         0.0002523393
    8.9115375000           0.0010652251         0.0002432677
    8.9812875000           0.0010146550         0.0002374231
    9.0510375000           0.0006944363         0.0001964174
