# Energy loss (eV)	Intensity (arb. units)	Error bar
   -4.2144125000           0.0002173935         0.0001098973
   -4.1446625000           0.0004058378         0.0001501551
   -4.0749125000           0.0002246053         0.0001117053
   -4.0051625000           0.0002801613         0.0001247578
   -3.9354125000           0.0004333678         0.0001551644
   -3.8656625000           0.0005393276         0.0001730972
   -3.7959125000           0.0005746235         0.0001786716
   -3.7261625000           0.0008243631         0.0002140046
   -3.6564125000           0.0005575322         0.0001759944
   -3.5866625000           0.0005575198         0.0001759924
   -3.5169125000           0.0003915635         0.0001474908
   -3.4471625000           0.0005882749         0.0001807815
   -3.3774125000           0.0004345423         0.0001553745
   -3.3076625000           0.0004976103         0.0001662679
   -3.2379125000           0.0008309306         0.0002148553
   -3.1681625000           0.0009646363         0.0002314971
   -3.0984125000           0.0010314289         0.0002393775
   -3.0286625000           0.0006175404         0.0001852236
   -2.9589125000           0.0006075631         0.0001837213
   -2.8891625000           0.0006969739         0.0001967759
   -2.8194125000           0.0005390929         0.0001730595
   -2.7496625000           0.0003853658         0.0001463189
   -2.6799125000           0.0007529414         0.0002045240
   -2.6101625000           0.0006483078         0.0001897817
   -2.5404125000           0.0007823378         0.0002084783
   -2.4706625000           0.0004546987         0.0001589372
   -2.4009125000           0.0004636107         0.0001604872
   -2.3311625000           0.0006183824         0.0001853499
   -2.2614125000           0.0006173916         0.0001852013
   -2.1916625000           0.0009773558         0.0002330183
   -2.1219125000           0.0007643042         0.0002060615
   -2.0521625000           0.0007850963         0.0002088455
   -1.9824125000           0.0006867910         0.0001953332
   -1.9126625000           0.0005610863         0.0001765544
   -1.8429125000           0.0009191210         0.0002259696
   -1.7731625000           0.0006914716         0.0001959977
   -1.7034125000           0.0008147448         0.0002127524
   -1.6336625000           0.0006168464         0.0001851195
   -1.5639125000           0.0007829022         0.0002085535
   -1.4941625000           0.0006932288         0.0001962466
   -1.4244125000           0.0006378118         0.0001882392
   -1.3546625000           0.0006122713         0.0001844318
   -1.2849125000           0.0007085470         0.0001984029
   -1.2151625000           0.0005718985         0.0001782474
   -1.1454125000           0.0006562680         0.0001909433
   -1.0756625000           0.0008604238         0.0002186351
   -1.0059125000           0.0009195978         0.0002260282
   -0.9361625000           0.0008498065         0.0002172820
   -0.8664125000           0.0008131481         0.0002125439
   -0.7966625000           0.0008268311         0.0002143247
   -0.7269125000           0.0008696505         0.0002198043
   -0.6571625000           0.0007711954         0.0002069884
   -0.5874125000           0.0011473457         0.0002524707
   -0.5176625000           0.0010686375         0.0002436570
   -0.4479125000           0.0011968866         0.0002578637
   -0.3781625000           0.0013534886         0.0002742149
   -0.3084125000           0.0011691283         0.0002548560
   -0.2386625000           0.0013946372         0.0002783520
   -0.1689125000           0.0010530351         0.0002418718
   -0.0991625000           0.0022011587         0.0003496950
   -0.0294125000           0.0189568212         0.0010262342
    0.0403375000           0.0182049499         0.0010056769
    0.1100875000           0.0047259002         0.0005123963
    0.1798375000           0.0043808860         0.0004933382
    0.2495875000           0.0051329454         0.0005340071
    0.3193375000           0.0059951089         0.0005771149
    0.3890875000           0.0075552877         0.0006478721
    0.4588375000           0.0111519122         0.0007871154
    0.5285875000           0.0142579855         0.0008900058
    0.5983375000           0.0184233221         0.0010116906
    0.6680875000           0.0217810918         0.0011000276
    0.7378375000           0.0256582508         0.0011939256
    0.8075875000           0.0288067042         0.0012650583
    0.8773375000           0.0335089817         0.0013644083
    0.9470875000           0.0327975884         0.0013498475
    1.0168375000           0.0340592879         0.0013755663
    1.0865875000           0.0301001686         0.0012931479
    1.1563375000           0.0285047466         0.0012584105
    1.2260875000           0.0271876647         0.0012289938
    1.2958375000           0.0259860401         0.0012015277
    1.3655875000           0.0252616158         0.0011846616
    1.4353375000           0.0247488851         0.0011725775
    1.5050875000           0.0266809599         0.0012174874
    1.5748375000           0.0261674349         0.0012057141
    1.6445875000           0.0291693305         0.0012729958
    1.7143375000           0.0347124895         0.0013886942
    1.7840875000           0.0322939871         0.0013394441
    1.8538375000           0.0365851161         0.0014256600
    1.9235875000           0.0394655068         0.0014807188
    1.9933375000           0.0465738772         0.0016085514
    2.0630875000           0.0537284538         0.0017276904
    2.1328375000           0.0605158409         0.0018335733
    2.2025875000           0.0694271090         0.0019639403
    2.2723375000           0.0779717796         0.0020812894
    2.3420875000           0.0843419557         0.0021646395
    2.4118375000           0.0955875759         0.0023044350
    2.4815875000           0.0991781544         0.0023473171
