# Energy loss (eV)	Intensity (arb. units)	Error bar
   -6.6817325000           0.0009333333         0.0002494438
   -6.6113825000           0.0000208262         0.0000372614
   -6.5410325000           0.0000072499         0.0000219847
   -6.4706825000           0.0000594168         0.0000629374
   -6.4003325000           0.0000000000         0.0000000000
   -6.3299825000           0.0000000000         0.0000000000
   -6.2596325000           0.0000000000         0.0000000000
   -6.1892825000           0.0000000000         0.0000000000
   -6.1189325000           0.0000000000         0.0000000000
   -6.0485825000           0.0000072499         0.0000219847
   -5.9782325000           0.0001260834         0.0000916819
   -5.9078825000           0.0000000000         0.0000000000
   -5.8375325000           0.0000000000         0.0000000000
   -5.7671825000           0.0000136981         0.0000302193
   -5.6968325000           0.0001130648         0.0000868197
   -5.6264825000           0.0000065704         0.0000209291
   -5.5561325000           0.0000000000         0.0000000000
   -5.4857825000           0.0000666667         0.0000666667
   -5.4154325000           0.0000000000         0.0000000000
   -5.3450825000           0.0000000000         0.0000000000
   -5.2747325000           0.0000000000         0.0000000000
   -5.2043825000           0.0000070094         0.0000216170
   -5.1340325000           0.0000576862         0.0000620141
   -5.0636825000           0.0000159699         0.0000326291
   -4.9933325000           0.0001297680         0.0000930118
   -4.9229825000           0.0001447377         0.0000982302
   -4.8526325000           0.0001761912         0.0001083793
   -4.7822825000           0.0000094615         0.0000251151
   -4.7119325000           0.0000755470         0.0000709681
   -4.6415825000           0.0001901141         0.0001125801
   -4.5712325000           0.0001271015         0.0000920512
   -4.5008825000           0.0006694848         0.0002112636
   -4.4305325000           0.0000759639         0.0000711636
   -4.3601825000           0.0002221662         0.0001217008
   -4.2898325000           0.0003180449         0.0001456125
   -4.2194825000           0.0003731878         0.0001577314
   -4.1491325000           0.0005892366         0.0001981980
   -4.0787825000           0.0005132628         0.0001849798
   -4.0084325000           0.0004949883         0.0001816569
   -3.9380825000           0.0005972481         0.0001995408
   -3.8677325000           0.0007450721         0.0002228710
   -3.7973825000           0.0009278086         0.0002487045
   -3.7270325000           0.0007471722         0.0002231849
   -3.6566825000           0.0009641113         0.0002535233
   -3.5863325000           0.0005986791         0.0001997797
   -3.5159825000           0.0004828359         0.0001794131
   -3.4456325000           0.0007906025         0.0002295797
   -3.3752825000           0.0007760606         0.0002274585
   -3.3049325000           0.0005660039         0.0001942514
   -3.2345825000           0.0007103692         0.0002176188
   -3.1642325000           0.0007439100         0.0002226971
   -3.0938825000           0.0008763467         0.0002417087
   -3.0235325000           0.0008787402         0.0002420386
   -2.9531825000           0.0009095803         0.0002462492
   -2.8828325000           0.0006016596         0.0002002764
   -2.8124825000           0.0005869478         0.0001978127
   -2.7421325000           0.0005968867         0.0001994804
   -2.6717825000           0.0008453312         0.0002373929
   -2.6014325000           0.0003847379         0.0001601536
   -2.5310825000           0.0009121858         0.0002466017
   -2.4607325000           0.0005702145         0.0001949726
   -2.3903825000           0.0008358646         0.0002360600
   -2.3200325000           0.0008382191         0.0002363922
   -2.2496825000           0.0009492773         0.0002515654
   -2.1793325000           0.0013276686         0.0002975084
   -2.1089825000           0.0008388963         0.0002364877
   -2.0386325000           0.0008575143         0.0002390975
   -1.9682825000           0.0013544639         0.0003004956
   -1.8979325000           0.0011423016         0.0002759591
   -1.8275825000           0.0009182290         0.0002474172
   -1.7572325000           0.0013681945         0.0003020148
   -1.6868825000           0.0006141688         0.0002023477
   -1.6165325000           0.0007628566         0.0002255152
   -1.5461825000           0.0008905542         0.0002436602
   -1.4758325000           0.0012026598         0.0002831560
   -1.4054825000           0.0008927100         0.0002439549
   -1.3351325000           0.0010072736         0.0002591362
   -1.2647825000           0.0003348667         0.0001494137
   -1.1944325000           0.0007513700         0.0002238109
   -1.1240825000           0.0012146201         0.0002845605
   -1.0537325000           0.0010567857         0.0002654287
   -0.9833825000           0.0011337425         0.0002749233
   -0.9130325000           0.0010520292         0.0002648307
   -0.8426825000           0.0006747485         0.0002120925
   -0.7723325000           0.0013555851         0.0003006199
   -0.7019825000           0.0015446858         0.0003209035
   -0.6316325000           0.0014472909         0.0003106221
   -0.5612825000           0.0015585976         0.0003223453
   -0.4909325000           0.0015076323         0.0003170313
   -0.4205825000           0.0011095741         0.0002719772
   -0.3502325000           0.0013557601         0.0003006393
   -0.2798825000           0.0016024742         0.0003268511
   -0.2095325000           0.0019873197         0.0003639890
   -0.1391825000           0.0017618282         0.0003427174
   -0.0688325000           0.0044257516         0.0005431852
    0.0015175000           0.0549472063         0.0019139350
    0.0718675000           0.0112363063         0.0008654982
    0.1422175000           0.0038269473         0.0005051038
    0.2125675000           0.0025199953         0.0004098776
    0.2829175000           0.0024639476         0.0004052939
    0.3532675000           0.0024369765         0.0004030696
