# Energy loss (eV)	Intensity (arb. units)	Error bar
   -7.4756525000           0.0005907064         0.0001984450
   -7.4053025000           0.0000000000         0.0000000000
   -7.3349525000           0.0000000000         0.0000000000
   -7.2646025000           0.0000000000         0.0000000000
   -7.1942525000           0.0000000000         0.0000000000
   -7.1239025000           0.0000001617         0.0000032831
   -7.0535525000           0.0000067401         0.0000211976
   -6.9832025000           0.0000597649         0.0000631215
   -6.9128525000           0.0000001617         0.0000032831
   -6.8425025000           0.0000067401         0.0000211976
   -6.7721525000           0.0001930983         0.0001134602
   -6.7018025000           0.0000000000         0.0000000000
   -6.6314525000           0.0000666667         0.0000666667
   -6.5611025000           0.0000000000         0.0000000000
   -6.4907525000           0.0000000000         0.0000000000
   -6.4204025000           0.0001381666         0.0000959745
   -6.3500525000           0.0000618334         0.0000642046
   -6.2797025000           0.0000000000         0.0000000000
   -6.2093525000           0.0000000000         0.0000000000
   -6.1390025000           0.0000047928         0.0000178752
   -6.0686525000           0.0001280234         0.0000923845
   -5.9983025000           0.0000101837         0.0000260559
   -5.9279525000           0.0001953284         0.0001141135
   -5.8576025000           0.0001400734         0.0000966345
   -5.7872525000           0.0001311840         0.0000935179
   -5.7169025000           0.0002608800         0.0001318787
   -5.6465525000           0.0001295343         0.0000929280
   -5.5762025000           0.0000001617         0.0000032831
   -5.5058525000           0.0000126480         0.0000290379
   -5.4355025000           0.0001916682         0.0001130393
   -5.3651525000           0.0000790805         0.0000726088
   -5.2948025000           0.0002020685         0.0001160656
   -5.2244525000           0.0002674584         0.0001335311
   -5.1541025000           0.0003241777         0.0001470097
   -5.0837525000           0.0002463971         0.0001281658
   -5.0134025000           0.0007891955         0.0002293753
   -4.9430525000           0.0007201278         0.0002191085
   -4.8727025000           0.0005904547         0.0001984027
   -4.8023525000           0.0003609982         0.0001551340
   -4.7320025000           0.0006530973         0.0002086620
   -4.6616525000           0.0007552779         0.0002243922
   -4.5913025000           0.0009805282         0.0002556727
   -4.5209525000           0.0006072168         0.0002011992
   -4.4506025000           0.0007884038         0.0002292602
   -4.3802525000           0.0006614688         0.0002099950
   -4.3099025000           0.0009696855         0.0002542552
   -4.2395525000           0.0008517481         0.0002382923
   -4.1692025000           0.0007339801         0.0002212058
   -4.0988525000           0.0008947420         0.0002442324
   -4.0285025000           0.0012952277         0.0002938512
   -3.9581525000           0.0006234617         0.0002038728
   -3.8878025000           0.0009721184         0.0002545739
   -3.8174525000           0.0007612728         0.0002252810
   -3.7471025000           0.0009798027         0.0002555781
   -3.6767525000           0.0008739238         0.0002413744
   -3.6064025000           0.0008910992         0.0002437347
   -3.5360525000           0.0010915178         0.0002697552
   -3.4657025000           0.0008985814         0.0002447559
   -3.3953525000           0.0009249611         0.0002483225
   -3.3250025000           0.0010612438         0.0002659879
   -3.2546525000           0.0008793871         0.0002421277
   -3.1843025000           0.0009804503         0.0002556626
   -3.1139525000           0.0009256224         0.0002484113
   -3.0436025000           0.0006485493         0.0002079342
   -2.9732525000           0.0011497926         0.0002768625
   -2.9029025000           0.0007975036         0.0002305795
   -2.8325525000           0.0006257894         0.0002042530
   -2.7622025000           0.0009437368         0.0002508302
   -2.6918525000           0.0016279203         0.0003294359
   -2.6215025000           0.0006205519         0.0002033965
   -2.5511525000           0.0010228171         0.0002611279
   -2.4808025000           0.0013542727         0.0003004744
   -2.4104525000           0.0013618768         0.0003013168
   -2.3401025000           0.0012164699         0.0002847771
   -2.2697525000           0.0012014880         0.0002830180
   -2.1994025000           0.0011914485         0.0002818331
   -2.1290525000           0.0010778212         0.0002680574
   -2.0587025000           0.0011974944         0.0002825473
   -1.9883525000           0.0011768452         0.0002801006
   -1.9180025000           0.0018817330         0.0003541876
   -1.8476525000           0.0011593227         0.0002780075
   -1.7773025000           0.0013844110         0.0003037994
   -1.7069525000           0.0012066104         0.0002836207
   -1.6366025000           0.0013210750         0.0002967687
   -1.5662525000           0.0015116420         0.0003174526
   -1.4959025000           0.0019143557         0.0003572446
   -1.4255525000           0.0014609441         0.0003120838
   -1.3552025000           0.0014107472         0.0003066754
   -1.2848525000           0.0008612553         0.0002396185
   -1.2145025000           0.0019081007         0.0003566605
   -1.1441525000           0.0018220720         0.0003485276
   -1.0738025000           0.0015789539         0.0003244435
   -1.0034525000           0.0011937046         0.0002820998
   -0.9331025000           0.0016489856         0.0003315605
   -0.8627525000           0.0020896287         0.0003732406
   -0.7924025000           0.0021344224         0.0003772199
   -0.7220525000           0.0015504158         0.0003214981
   -0.6517025000           0.0015702377         0.0003235468
   -0.5813525000           0.0019666780         0.0003620937
   -0.5110025000           0.0018628700         0.0003524079
   -0.4406525000           0.0024036900         0.0004003074
   -0.3703025000           0.0018708386         0.0003531608
   -0.2999525000           0.0021984974         0.0003828400
   -0.2296025000           0.0018093486         0.0003473086
   -0.1592525000           0.0021573422         0.0003792398
   -0.0889025000           0.0039279802         0.0005117278
   -0.0185525000           0.0513076788         0.0018494626
    0.0517975000           0.0451956332         0.0017358117
    0.1221475000           0.0305656361         0.0014274835
    0.1924975000           0.0186973199         0.0011164623
    0.2628475000           0.0119701209         0.0008933130
    0.3331975000           0.0108372382         0.0008499897
    0.4035475000           0.0086734825         0.0007604158
    0.4738975000           0.0119124733         0.0008911593
    0.5442475000           0.0137072966         0.0009559392
    0.6145975000           0.0161537569         0.0010377462
    0.6849475000           0.0190546659         0.0011270808
    0.7552975000           0.0279341297         0.0013646521
    0.8256475000           0.0314124999         0.0014471236
    0.8959975000           0.0335188740         0.0014948550
    0.9663475000           0.0343205250         0.0015126252
    1.0366975000           0.0352273022         0.0015324773
    1.1070475000           0.0421814266         0.0016769303
    1.1773975000           0.0433505832         0.0017000114
