# Energy loss (eV)	Intensity (arb. units)	Error bar
   -6.8797125000           0.0012000000         0.0002828427
   -6.8093625000           0.0000022116         0.0000121426
   -6.7390125000           0.0000000000         0.0000000000
   -6.6686625000           0.0000000000         0.0000000000
   -6.5983125000           0.0000000000         0.0000000000
   -6.5279625000           0.0000000000         0.0000000000
   -6.4576125000           0.0000000000         0.0000000000
   -6.3872625000           0.0000000000         0.0000000000
   -6.3169125000           0.0000000000         0.0000000000
   -6.2465625000           0.0000061514         0.0000202508
   -6.1762125000           0.0000664286         0.0000665475
   -6.1058625000           0.0000584112         0.0000624025
   -6.0355125000           0.0000023422         0.0000124957
   -5.9651625000           0.0000000000         0.0000000000
   -5.8948125000           0.0000000000         0.0000000000
   -5.8244625000           0.0000000000         0.0000000000
   -5.7541125000           0.0000000000         0.0000000000
   -5.6837625000           0.0000664824         0.0000665745
   -5.6134125000           0.0000001843         0.0000035053
   -5.5430625000           0.0000000000         0.0000000000
   -5.4727125000           0.0000119287         0.0000282002
   -5.4023625000           0.0001236374         0.0000907882
   -5.3320125000           0.0000620917         0.0000643385
   -5.2616625000           0.0000084936         0.0000237958
   -5.1913125000           0.0000608724         0.0000637037
   -5.1209625000           0.0000216104         0.0000379565
   -5.0506125000           0.0001839458         0.0001107387
   -4.9802625000           0.0001373637         0.0000956952
   -4.9099125000           0.0002079039         0.0001177296
   -4.8395625000           0.0002039766         0.0001166123
   -4.7692125000           0.0002606200         0.0001318130
   -4.6988625000           0.0002799876         0.0001366230
   -4.6285125000           0.0004011485         0.0001635336
   -4.5581625000           0.0003756163         0.0001582438
   -4.4878125000           0.0001481304         0.0000993748
   -4.4174625000           0.0003299079         0.0001483033
   -4.3471125000           0.0003415548         0.0001508984
   -4.2767625000           0.0003672876         0.0001564795
   -4.2064125000           0.0008467219         0.0002375882
   -4.1360625000           0.0005912361         0.0001985340
   -4.0657125000           0.0007878682         0.0002291823
   -3.9953625000           0.0008102474         0.0002324145
   -3.9250125000           0.0004325951         0.0001698225
   -3.8546625000           0.0007802240         0.0002280678
   -3.7843125000           0.0007085939         0.0002173467
   -3.7139625000           0.0006599839         0.0002097592
   -3.6436125000           0.0003010336         0.0001416648
   -3.5732625000           0.0009173072         0.0002472930
   -3.5029125000           0.0006641788         0.0002104248
   -3.4325625000           0.0004225374         0.0001678367
   -3.3622125000           0.0006159081         0.0002026340
   -3.2918625000           0.0009899327         0.0002568959
   -3.2215125000           0.0010047138         0.0002588067
   -3.1511625000           0.0010363732         0.0002628527
   -3.0808125000           0.0006075211         0.0002012496
   -3.0104625000           0.0006062732         0.0002010428
   -2.9401125000           0.0007342098         0.0002212404
   -2.8697625000           0.0005209211         0.0001863547
   -2.7994125000           0.0005423353         0.0001901465
   -2.7290625000           0.0008811829         0.0002423748
   -2.6587125000           0.0008676424         0.0002405054
