# Energy loss (eV)	Intensity (arb. units)	Error bar
   -7.2807425000           0.0009860615         0.0002563931
   -7.2103925000           0.0000022302         0.0000121933
   -7.1400425000           0.0000666667         0.0000666667
   -7.0696925000           0.0000000000         0.0000000000
   -6.9993425000           0.0000000000         0.0000000000
   -6.9289925000           0.0000103256         0.0000262369
   -6.8586425000           0.0001230077         0.0000905567
   -6.7882925000           0.0000103256         0.0000262369
   -6.7179425000           0.0000563410         0.0000612868
   -6.6475925000           0.0000000000         0.0000000000
   -6.5772425000           0.0000000000         0.0000000000
   -6.5068925000           0.0000103256         0.0000262369
   -6.4365425000           0.0000563410         0.0000612868
   -6.3661925000           0.0000000000         0.0000000000
   -6.2958425000           0.0000000000         0.0000000000
   -6.2254925000           0.0000000000         0.0000000000
   -6.1551425000           0.0000000000         0.0000000000
   -6.0847925000           0.0000206512         0.0000371046
   -6.0144425000           0.0001224032         0.0000903339
   -5.9440925000           0.0000536472         0.0000598037
   -5.8737425000           0.0000032983         0.0000148286
   -5.8033925000           0.0000194998         0.0000360554
   -5.7330425000           0.0001736601         0.0001075981
   -5.6626925000           0.0000068400         0.0000213542
   -5.5923425000           0.0000201907         0.0000366885
   -5.5219925000           0.0001204947         0.0000896269
   -5.4516425000           0.0000666667         0.0000666667
   -5.3812925000           0.0000568016         0.0000615368
   -5.3109425000           0.0000319643         0.0000461622
   -5.2405925000           0.0002586590         0.0001313162
   -5.1702425000           0.0001811340         0.0001098890
   -5.0998925000           0.0000681322         0.0000673954
   -5.0295425000           0.0001202020         0.0000895180
   -4.9591925000           0.0004155872         0.0001664506
   -4.8888425000           0.0002286843         0.0001234732
   -4.8184925000           0.0004808490         0.0001790436
   -4.7481425000           0.0005343908         0.0001887487
   -4.6777925000           0.0004124550         0.0001658222
   -4.6074425000           0.0004414489         0.0001715515
   -4.5370925000           0.0004646818         0.0001760079
   -4.4667425000           0.0006747804         0.0002120975
   -4.3963925000           0.0008817828         0.0002424573
   -4.3260425000           0.0006987452         0.0002158310
   -4.2556925000           0.0007697155         0.0002265268
   -4.1853425000           0.0006910205         0.0002146347
   -4.1149925000           0.0005214988         0.0001864580
   -4.0446425000           0.0006120397         0.0002019966
   -3.9742925000           0.0009351675         0.0002496888
   -3.9039425000           0.0007064441         0.0002170168
   -3.8335925000           0.0008477450         0.0002377316
   -3.7632425000           0.0007507349         0.0002237163
   -3.6928925000           0.0007464626         0.0002230789
   -3.6225425000           0.0011502163         0.0002769135
   -3.5521925000           0.0004714275         0.0001772808
   -3.4818425000           0.0009171101         0.0002472664
   -3.4114925000           0.0008212437         0.0002339863
   -3.3411425000           0.0006967488         0.0002155224
   -3.2707925000           0.0010157842         0.0002602286
   -3.2004425000           0.0011848510         0.0002810517
   -3.1300925000           0.0007968824         0.0002304897
   -3.0597425000           0.0008064462         0.0002318687
   -2.9893925000           0.0008442342         0.0002372389
   -2.9190425000           0.0010002379         0.0002582296
   -2.8486925000           0.0006775167         0.0002125271
   -2.7783425000           0.0007903563         0.0002295439
   -2.7079925000           0.0006873999         0.0002140716
   -2.6376425000           0.0013498254         0.0002999806
   -2.5672925000           0.0008281042         0.0002349616
   -2.4969425000           0.0009006397         0.0002450360
   -2.4265925000           0.0010651456         0.0002664765
   -2.3562425000           0.0011150561         0.0002726483
   -2.2858925000           0.0011961023         0.0002823830
   -2.2155425000           0.0011921833         0.0002819200
   -2.1451925000           0.0011928825         0.0002820027
   -2.0748425000           0.0010644337         0.0002663874
   -2.0044925000           0.0011021276         0.0002710630
   -1.9341425000           0.0008311332         0.0002353909
   -1.8637925000           0.0006184937         0.0002030589
   -1.7934425000           0.0009120162         0.0002465788
   -1.7230925000           0.0009627649         0.0002533463
   -1.6527425000           0.0008367432         0.0002361840
   -1.5823925000           0.0017729855         0.0003438009
   -1.5120425000           0.0010518978         0.0002648141
   -1.4416925000           0.0014911499         0.0003152935
   -1.3713425000           0.0009721580         0.0002545791
   -1.3009925000           0.0011604845         0.0002781468
   -1.2306425000           0.0015784338         0.0003243901
   -1.1602925000           0.0013500160         0.0003000018
   -1.0899425000           0.0012505616         0.0002887400
   -1.0195925000           0.0011490183         0.0002767693
   -0.9492425000           0.0009686267         0.0002541163
   -0.8788925000           0.0012728919         0.0002913065
   -0.8085425000           0.0014243141         0.0003081465
   -0.7381925000           0.0013105127         0.0002955800
   -0.6678425000           0.0017353042         0.0003401278
   -0.5974925000           0.0015110226         0.0003173875
   -0.5271425000           0.0018218507         0.0003485064
   -0.4567925000           0.0016793731         0.0003346016
   -0.3864425000           0.0011837289         0.0002809186
   -0.3160925000           0.0018393438         0.0003501756
   -0.2457425000           0.0015962321         0.0003262138
   -0.1753925000           0.0015885007         0.0003254229
   -0.1050425000           0.0038338794         0.0005055610
   -0.0346925000           0.0289819421         0.0013900106
    0.0356575000           0.0491166817         0.0018095429
    0.1060075000           0.0253149780         0.0012991017
    0.1763575000           0.0127112535         0.0009205525
    0.2467075000           0.0072187730         0.0006937230
    0.3170575000           0.0076236782         0.0007129132
    0.3874075000           0.0047487697         0.0005626586
    0.4577575000           0.0055193133         0.0006065923
    0.5281075000           0.0063472780         0.0006505012
    0.5984575000           0.0065108001         0.0006588272
    0.6688075000           0.0086784607         0.0007606340
    0.7391575000           0.0125290299         0.0009139303
    0.8095075000           0.0162487595         0.0010407933
    0.8798575000           0.0204831056         0.0011685634
    0.9502075000           0.0237297774         0.0012577699
    1.0205575000           0.0256146944         0.0013067694
    1.0909075000           0.0276764194         0.0013583426
    1.1612575000           0.0285489372         0.0013795878
    1.2316075000           0.0350871661         0.0015294262
    1.3019575000           0.0321862059         0.0014648369
    1.3723075000           0.0360580043         0.0015504409
    1.4426575000           0.0386989933         0.0016062169
    1.5130075000           0.0398971870         0.0016308931
    1.5833575000           0.0394824812         0.0016223950
    1.6537075000           0.0399042106         0.0016310367
    1.7240575000           0.0403028146         0.0016391627
    1.7944075000           0.0383973352         0.0015999445
    1.8647575000           0.0417608821         0.0016685499
    1.9351075000           0.0426368316         0.0016859583
    2.0054575000           0.0450561315         0.0017331307
    2.0758075000           0.0443792510         0.0017200630
    2.1461575000           0.0441120091         0.0017148763
    2.2165075000           0.0431541414         0.0016961553
    2.2868575000           0.0422837282         0.0016789625
    2.3572075000           0.0403205185         0.0016395227
    2.4275575000           0.0411602781         0.0016565079
    2.4979075000           0.0361904212         0.0015532851
    2.5682575000           0.0361688024         0.0015528211
    2.6386075000           0.0338699757         0.0015026638
    2.7089575000           0.0328211564         0.0014792150
    2.7793075000           0.0350157268         0.0015278684
    2.8496575000           0.0368043410         0.0015664044
    2.9200075000           0.0346796156         0.0015205178
    2.9903575000           0.0372911147         0.0015767290
    3.0607075000           0.0361840778         0.0015531490
    3.1310575000           0.0365027061         0.0015599724
    3.2014075000           0.0377876807         0.0015871921
    3.2717575000           0.0372620783         0.0015761150
    3.3421075000           0.0375483413         0.0015821576
    3.4124575000           0.0378341211         0.0015881671
    3.4828075000           0.0403022358         0.0016391509
    3.5531575000           0.0451587484         0.0017351032
    3.6235075000           0.0454789924         0.0017412446
    3.6938575000           0.0496599600         0.0018195230
    3.7642075000           0.0552136681         0.0019185701
    3.8345575000           0.0626970114         0.0020444561
    3.9049075000           0.0698210439         0.0021574838
    3.9752575000           0.0799222051         0.0023082779
    4.0456075000           0.0898792285         0.0024478457
    4.1159575000           0.0988807840         0.0025674992
    4.1863075000           0.1094321530         0.0027010140
    4.2566575000           0.1215293308         0.0028463934
    4.3270075000           0.1352081169         0.0030023115
    4.3973575000           0.1486579022         0.0031480989
    4.4677075000           0.1585638247         0.0032512954
    4.5380575000           0.1664422217         0.0033310881
    4.6084075000           0.1683462459         0.0033500870
    4.6787575000           0.1723820202         0.0033900051
    4.7491075000           0.1723443638         0.0033896348
    4.8194575000           0.1657202412         0.0033238556
    4.8898075000           0.1703184354         0.0033696532
    4.9601575000           0.1675394741         0.0033420500
    5.0305075000           0.1624805551         0.0032912060
    5.1008575000           0.1641068804         0.0033076364
    5.1712075000           0.1652588758         0.0033192256
    5.2415575000           0.1617601337         0.0032839015
    5.3119075000           0.1660990732         0.0033276526
    5.3822575000           0.1687351093         0.0033539540
    5.4526075000           0.1653643544         0.0033202847
    5.5229575000           0.1680322728         0.0033469615
    5.5933075000           0.1655371034         0.0033220185
    5.6636575000           0.1624760236         0.0032911601
    5.7340075000           0.1579677653         0.0032451786
    5.8043575000           0.1671851122         0.0033385138
    5.8747075000           0.1613725300         0.0032799647
    5.9450575000           0.1604241187         0.0032703121
    6.0154075000           0.1672930287         0.0033395911
    6.0857575000           0.1617437964         0.0032837356
    6.1561075000           0.1586529746         0.0032522092
    6.2264575000           0.1568422299         0.0032335969
    6.2968075000           0.1587267649         0.0032529655
    6.3671575000           0.1536251340         0.0032002618
    6.4375075000           0.1481842635         0.0031430798
    6.5078575000           0.1526121812         0.0031896936
    6.5782075000           0.1562648562         0.0032276396
    6.6485575000           0.1459678290         0.0031194853
    6.7189075000           0.1424476142         0.0030816404
    6.7892575000           0.1392940606         0.0030473383
    6.8596075000           0.1311866364         0.0029573258
    6.9299575000           0.1273440073         0.0029136919
    7.0003075000           0.1236361481         0.0028709597
    7.0706575000           0.1216784740         0.0028481394
    7.1410075000           0.1163013195         0.0027844966
    7.2113575000           0.1173617223         0.0027971619
    7.2817075000           0.1112296776         0.0027231070
    7.3520575000           0.1010389551         0.0025953671
    7.4224075000           0.1046330255         0.0026411238
    7.4927575000           0.1003514777         0.0025865225
    7.5631075000           0.0942491096         0.0025066460
    7.6334575000           0.0912081703         0.0024658760
    7.7038075000           0.0865735153         0.0024024087
    7.7741575000           0.0834321633         0.0023584199
    7.8445075000           0.0816207493         0.0023326773
    7.9148575000           0.0754279383         0.0022424382
    7.9852075000           0.0656177241         0.0020915341
    8.0555575000           0.0699960653         0.0021601862
    8.1259075000           0.0656472800         0.0020920051
    8.1962575000           0.0564027327         0.0019391189
    8.2666075000           0.0541372532         0.0018997764
    8.3369575000           0.0504172466         0.0018333439
    8.4073075000           0.0479285243         0.0017875220
    8.4776575000           0.0439465983         0.0017116580
    8.5480075000           0.0414685185         0.0016626990
    8.6183575000           0.0394192267         0.0016210948
    8.6887075000           0.0380499420         0.0015926904
    8.7590575000           0.0346501026         0.0015198707
    8.8294075000           0.0305337066         0.0014267377
    8.8997575000           0.0260884320         0.0013187982
    8.9701075000           0.0252482515         0.0012973884
    9.0404575000           0.0251805073         0.0012956467
    9.1108075000           0.0245442737         0.0012791735
    9.1811575000           0.0200763874         0.0011569036
    9.2515075000           0.0182904280         0.0011042472
    9.3218575000           0.0173303797         0.0010748761
    9.3922075000           0.0160531666         0.0010345101
    9.4625575000           0.0155746000         0.0010189733
    9.5329075000           0.0154259792         0.0010140999
    9.6032575000           0.0151512998         0.0010050307
    9.6736075000           0.0146201421         0.0009872569
    9.7439575000           0.0142371046         0.0009742383
    9.8143075000           0.0125021068         0.0009129479
    9.8846575000           0.0111642418         0.0008627183
    9.9550075000           0.0114274167         0.0008728275
   10.0253575000           0.0114378454         0.0008732256
   10.0957075000           0.0107249818         0.0008455760
   10.1660575000           0.0105699948         0.0008394441
   10.2364075000           0.0095374382         0.0007973890
   10.3067575000           0.0089803753         0.0007737517
   10.3771075000           0.0101543068         0.0008227720
   10.4474575000           0.0099995540         0.0008164784
   10.5178075000           0.0082716140         0.0007425907
   10.5881575000           0.0087025086         0.0007616871
   10.6585075000           0.0082421566         0.0007412672
   10.7288575000           0.0084096141         0.0007487596
   10.7992075000           0.0083192755         0.0007447270
   10.8695575000           0.0085218878         0.0007537412
   10.9399075000           0.0065159690         0.0006590887
   11.0102575000           0.0086171432         0.0007579421
   11.0806075000           0.0083428481         0.0007457814
   11.1509575000           0.0064271229         0.0006545799
   11.2213075000           0.0068554820         0.0006760415
   11.2916575000           0.0070981397         0.0006879021
   11.3620075000           0.0065263033         0.0006596112
   11.4323575000           0.0056246158         0.0006123515
   11.5027075000           0.0058780475         0.0006259951
   11.5730575000           0.0052150434         0.0005896351
   11.6434075000           0.0052231176         0.0005900914
   11.7137575000           0.0054697784         0.0006038641
   11.7841075000           0.0065373804         0.0006601707
   11.8544575000           0.0060264973         0.0006338505
   11.9248075000           0.0046396356         0.0005561556
   11.9951575000           0.0046042087         0.0005540282
   12.0655075000           0.0039139642         0.0005108140
   12.1358575000           0.0044011992         0.0005416764
   12.2062075000           0.0046554975         0.0005571055
   12.2765575000           0.0049262854         0.0005730785
   12.3469075000           0.0044341451         0.0005437000
   12.4172575000           0.0041091892         0.0005233985
   12.4876075000           0.0040338022         0.0005185751
   12.5579575000           0.0039571159         0.0005136222
   12.6283075000           0.0037119017         0.0004974536
   12.6986575000           0.0039196928         0.0005111877
   12.7690075000           0.0040992691         0.0005227663
   12.8393575000           0.0040897596         0.0005221596
   12.9097075000           0.0039079870         0.0005104238
   12.9800575000           0.0034975424         0.0004828763
   13.0504075000           0.0034026562         0.0004762812
   13.1207575000           0.0035913192         0.0004893069
   13.1911075000           0.0032952408         0.0004687032
   13.2614575000           0.0031132197         0.0004555743
   13.3318075000           0.0036322669         0.0004920885
   13.4021575000           0.0034080866         0.0004766611
   13.4725075000           0.0029983952         0.0004470940
   13.5428575000           0.0032074908         0.0004624205
   13.6132075000           0.0035404856         0.0004858316
   13.6835575000           0.0031060813         0.0004550517
   13.7539075000           0.0028550180         0.0004362735
   13.8242575000           0.0024013848         0.0004001154
