# Energy loss (eV)	Intensity (arb. units)	Error bar
   -5.6113875000           0.0000460644         0.0000505879
   -5.5416375000           0.0000202681         0.0000335560
   -5.4718875000           0.0001742337         0.0000983852
   -5.4021375000           0.0001542716         0.0000925778
   -5.3323875000           0.0002246856         0.0001117253
   -5.2626375000           0.0001684273         0.0000967319
   -5.1928875000           0.0001015423         0.0000751082
   -5.1231375000           0.0002140858         0.0001090580
   -5.0533875000           0.0000739254         0.0000640856
   -4.9836375000           0.0002175535         0.0001099377
   -4.9138875000           0.0001143343         0.0000796988
   -4.8441375000           0.0001585087         0.0000938405
   -4.7743875000           0.0001551606         0.0000928441
   -4.7046375000           0.0000006515         0.0000060163
   -4.6348875000           0.0000096724         0.0000231809
   -4.5651375000           0.0000651503         0.0000601619
   -4.4953875000           0.0000939582         0.0000722489
   -4.4256375000           0.0000630879         0.0000592021
   -4.3558875000           0.0000555297         0.0000555426
   -4.2861375000           0.0001036046         0.0000758671
   -4.2163875000           0.0000651762         0.0000601739
   -4.1466375000           0.0001549061         0.0000927679
   -4.0768875000           0.0000027182         0.0000122886
   -4.0071375000           0.0001267627         0.0000839189
   -3.9373875000           0.0000990093         0.0000741655
   -3.8676375000           0.0001603987         0.0000943983
   -3.7978875000           0.0000744688         0.0000643207
   -3.7281375000           0.0000915722         0.0000713256
   -3.6583875000           0.0000650038         0.0000600943
   -3.5886375000           0.0000433545         0.0000490773
   -3.5188875000           0.0000610482         0.0000582371
   -3.4491375000           0.0000650769         0.0000601281
   -3.3793875000           0.0001739704         0.0000983108
   -3.3096375000           0.0001011928         0.0000749788
   -3.2398875000           0.0000560561         0.0000558053
   -3.1701375000           0.0002169291         0.0001097799
   -3.1003875000           0.0001090229         0.0000778256
   -3.0306375000           0.0001368321         0.0000871882
   -2.9608875000           0.0001903571         0.0001028367
   -2.8911375000           0.0000683822         0.0000616361
   -2.8213875000           0.0000460727         0.0000505924
   -2.7516375000           0.0001334029         0.0000860887
   -2.6818875000           0.0003307230         0.0001355489
   -2.6121375000           0.0001571669         0.0000934425
   -2.5423875000           0.0002148409         0.0001092502
   -2.4726375000           0.0001186435         0.0000811868
   -2.4028875000           0.0001110852         0.0000785583
   -2.3331375000           0.0001026727         0.0000755251
   -2.2633875000           0.0001683320         0.0000967046
   -2.1936375000           0.0001878667         0.0001021618
   -2.1238875000           0.0002175711         0.0001099422
   -2.0541375000           0.0002687612         0.0001221932
   -1.9843875000           0.0001299513         0.0000849677
   -1.9146375000           0.0002020401         0.0001059455
   -1.8448875000           0.0002981798         0.0001287072
   -1.7751375000           0.0002277880         0.0001124939
   -1.7053875000           0.0004094388         0.0001508198
   -1.6356375000           0.0000205832         0.0000338158
   -1.5658875000           0.0001547244         0.0000927135
   -1.4961375000           0.0002637466         0.0001210479
   -1.4263875000           0.0005176556         0.0001695837
   -1.3566375000           0.0001770423         0.0000991750
   -1.2868875000           0.0003048578         0.0001301405
   -1.2171375000           0.0004556667         0.0001591063
   -1.1473875000           0.0000592921         0.0000573934
   -1.0776375000           0.0001352753         0.0000866908
   -1.0078875000           0.0003362321         0.0001366732
   -0.9381375000           0.0002067729         0.0001071792
   -0.8683875000           0.0003977592         0.0001486531
   -0.7986375000           0.0003940395         0.0001479564
   -0.7288875000           0.0002636146         0.0001210176
   -0.6591375000           0.0005129390         0.0001688094
   -0.5893875000           0.0005375338         0.0001728091
   -0.5196375000           0.0002983492         0.0001287438
   -0.4498875000           0.0006267198         0.0001865952
   -0.3801375000           0.0004978414         0.0001663065
   -0.3103875000           0.0004912302         0.0001651986
   -0.2406375000           0.0006488558         0.0001898619
   -0.1708875000           0.0008374403         0.0002156953
   -0.1011375000           0.0017277684         0.0003098179
   -0.0313875000           0.0182075481         0.0010057487
    0.0383625000           0.0261662701         0.0012056872
    0.1081125000           0.0053214419         0.0005437239
    0.1778625000           0.0023964462         0.0003648779
    0.2476125000           0.0016932971         0.0003067117
    0.3173625000           0.0021184937         0.0003430657
    0.3871125000           0.0019367879         0.0003280234
    0.4568625000           0.0014745383         0.0002862146
    0.5266125000           0.0018182113         0.0003178234
    0.5963625000           0.0022374055         0.0003525625
    0.6661125000           0.0027007264         0.0003873504
    0.7358625000           0.0018860934         0.0003237020
    0.8056125000           0.0030642735         0.0004125984
    0.8753625000           0.0034715191         0.0004391608
    0.9451125000           0.0038404982         0.0004619102
    1.0148625000           0.0041994720         0.0004830155
    1.0846125000           0.0043619478         0.0004922707
    1.1543625000           0.0053850493         0.0005469638
    1.2241125000           0.0048644432         0.0005198527
    1.2938625000           0.0051816468         0.0005365345
    1.3636125000           0.0064672760         0.0005994106
    1.4333625000           0.0069608816         0.0006218647
    1.5031125000           0.0090677337         0.0007097626
    1.5728625000           0.0117299183         0.0008072559
    1.6426125000           0.0116758305         0.0008053926
    1.7123625000           0.0137466709         0.0008739016
    1.7821125000           0.0151266547         0.0009167168
    1.8518625000           0.0154645953         0.0009269003
    1.9216125000           0.0141775914         0.0008874931
    1.9913625000           0.0154295128         0.0009258483
    2.0611125000           0.0159636554         0.0009417376
    2.1308625000           0.0152367252         0.0009200460
    2.2006125000           0.0150821129         0.0009153661
    2.2703625000           0.0141349370         0.0008861570
    2.3401125000           0.0145193452         0.0008981260
    2.4098625000           0.0146387481         0.0009018114
    2.4796125000           0.0143517698         0.0008929281
    2.5493625000           0.0120572496         0.0008184419
    2.6191125000           0.0112316329         0.0007899238
    2.6888625000           0.0117025479         0.0008063136
    2.7586125000           0.0107216753         0.0007717828
    2.8283625000           0.0111201686         0.0007859944
    2.8981125000           0.0106862385         0.0007705063
    2.9678625000           0.0077157282         0.0006547149
    3.0376125000           0.0086446058         0.0006930050
    3.1073625000           0.0071738975         0.0006313081
    3.1771125000           0.0079010157         0.0006625295
    3.2468625000           0.0076761585         0.0006530339
    3.3166125000           0.0080715607         0.0006696417
    3.3863625000           0.0069673686         0.0006221543
    3.4561125000           0.0074366139         0.0006427637
    3.5258625000           0.0069229499         0.0006201680
    3.5956125000           0.0066185719         0.0006063814
    3.6653625000           0.0075482604         0.0006475707
    3.7351125000           0.0074727897         0.0006443252
    3.8048625000           0.0056105365         0.0005582978
    3.8746125000           0.0059055573         0.0005727884
    3.9443625000           0.0058164297         0.0005684496
    4.0141125000           0.0057602512         0.0005656978
    4.0838625000           0.0064519431         0.0005986997
    4.1536125000           0.0052214603         0.0005385918
    4.2233625000           0.0057132252         0.0005633839
    4.2931125000           0.0054345513         0.0005494720
    4.3628625000           0.0055209017         0.0005538202
    4.4326125000           0.0059363210         0.0005742783
    4.5023625000           0.0048560781         0.0005194055
    4.5721125000           0.0056702683         0.0005612619
    4.6418625000           0.0052673778         0.0005409548
    4.7116125000           0.0047044440         0.0005112318
    4.7813625000           0.0047946764         0.0005161113
    4.8511125000           0.0055477503         0.0005551652
