# Energy loss (eV)	Intensity (arb. units)	Error bar
   -1.2382650000           0.0032747150         0.0004985169
   -1.1679150000           0.0043448112         0.0005742204
   -1.0975650000           0.0047111805         0.0005979406
   -1.0272150000           0.0041675038         0.0005623816
   -0.9568650000           0.0050279494         0.0006177156
   -0.8865150000           0.0044676741         0.0005822827
   -0.8161650000           0.0050671429         0.0006201185
   -0.7458150000           0.0053599816         0.0006377857
   -0.6754650000           0.0044405405         0.0005805118
   -0.6051150000           0.0053875302         0.0006394226
   -0.5347650000           0.0058430589         0.0006659065
   -0.4644150000           0.0063664439         0.0006950909
   -0.3940650000           0.0057990169         0.0006633921
   -0.3237150000           0.0077316131         0.0007659990
   -0.2533650000           0.0053642976         0.0006380424
   -0.1830150000           0.0082586895         0.0007916782
   -0.1126650000           0.0092953384         0.0008398964
   -0.0423150000           0.0425376621         0.0017967181
    0.0280350000           0.2155972873         0.0040449651
    0.0983850000           0.1769090763         0.0036641074
    0.1687350000           0.1087871837         0.0028733068
    0.2390850000           0.0776720775         0.0024278709
    0.3094350000           0.0605039162         0.0021428160
    0.3797850000           0.0533810364         0.0020127352
    0.4501350000           0.0562697291         0.0020664769
    0.5204850000           0.0666102528         0.0022483487
    0.5908350000           0.0755105941         0.0023938508
    0.6611850000           0.0896382674         0.0026081938
    0.7315350000           0.0998336286         0.0027525268
    0.8018850000           0.1138198066         0.0029390167
    0.8722350000           0.1262432589         0.0030952607
    0.9425850000           0.1414408118         0.0032762762
    1.0129350000           0.1574490976         0.0034567122
    1.0832850000           0.1585668350         0.0034689602
    1.1536350000           0.1637083502         0.0035247519
    1.2239850000           0.1513803528         0.0033894395
    1.2943350000           0.1424773468         0.0032882592
    1.3646850000           0.1349116883         0.0031997638
    1.4350350000           0.1294398381         0.0031342030
    1.5053850000           0.1217603462         0.0030398074
    1.5757350000           0.1191890278         0.0030075390
    1.6460850000           0.1237439541         0.0030644683
    1.7164350000           0.1195185061         0.0030116931
    1.7867850000           0.1286111966         0.0031241547
    1.8571350000           0.1382650923         0.0032392869
    1.9274850000           0.1502316629         0.0033765553
    1.9978350000           0.1738258585         0.0036320375
    2.0681850000           0.1927377220         0.0038245161
    2.1385350000           0.1944096074         0.0038410680
    2.2088850000           0.1771189567         0.0036662802
    2.2792350000           0.1557068157         0.0034375336
    2.3495850000           0.1296057891         0.0031362114
    2.4199350000           0.1152416175         0.0029573165
    2.4902850000           0.1080424635         0.0028634551
    2.5606350000           0.1004147418         0.0027605262
    2.6309850000           0.0953470211         0.0026899654
    2.7013350000           0.0964023295         0.0027048108
    2.7716850000           0.0982091293         0.0027300403
    2.8420350000           0.0979108090         0.0027258908
    2.9123850000           0.0964803057         0.0027059045
    2.9827350000           0.0947740626         0.0026818710
    3.0530850000           0.0970428820         0.0027137821
    3.1234350000           0.0985085142         0.0027341984
    3.1937850000           0.1014479948         0.0027746926
    3.2641350000           0.1060464137         0.0028368811
    3.3344850000           0.1143133412         0.0029453818
    3.4048350000           0.1257157584         0.0030887872
    3.4751850000           0.1391985589         0.0032502031
    3.5455350000           0.1659211898         0.0035484939
    3.6158850000           0.2001053742         0.0038969292
    3.6862350000           0.2416920226         0.0042827655
    3.7565850000           0.2971322381         0.0047486266
    3.8269350000           0.3311069785         0.0050127645
    3.8972850000           0.3752975135         0.0053368006
    3.9676350000           0.4189782870         0.0056388286
    4.0379850000           0.4361959521         0.0057535243
    4.1083350000           0.4604476969         0.0059113039
    4.1786850000           0.4726343543         0.0059890202
    4.2490350000           0.4967137761         0.0061396871
    4.3193850000           0.5111119494         0.0062280366
    4.3897350000           0.5159528278         0.0062574607
    4.4600850000           0.5225716395         0.0062974692
    4.5304350000           0.5376624288         0.0063877510
    4.6007850000           0.5447022502         0.0064294337
    4.6711350000           0.5552226619         0.0064912260
    4.7414850000           0.5759376878         0.0066112090
    4.8118350000           0.5823510322         0.0066479166
    4.8821850000           0.6254432712         0.0068894904
    4.9525350000           0.6273595721         0.0069000367
    5.0228850000           0.6614194377         0.0070848655
    5.0932350000           0.6689172334         0.0071249091
    5.1635850000           0.6591284489         0.0070725848
    5.2339350000           0.6586452708         0.0070699920
    5.3042850000           0.6220325260         0.0068706794
    5.3746350000           0.6130277783         0.0068207670
    5.4449850000           0.5918123251         0.0067017024
    5.5153350000           0.5694087985         0.0065736295
    5.5856850000           0.5607245310         0.0065233084
    5.6560350000           0.5367860841         0.0063825432
    5.7263850000           0.5226856888         0.0062981564
    5.7967350000           0.5088714288         0.0062143709
    5.8670850000           0.5036608376         0.0061824730
    5.9374350000           0.4930628998         0.0061170819
    6.0077850000           0.4648412136         0.0059394393
    6.0781350000           0.4508469203         0.0058493511
    6.1484850000           0.4317953313         0.0057244281
    6.2188350000           0.4120206574         0.0055918129
    6.2891850000           0.4000812053         0.0055101981
    6.3595350000           0.3802330405         0.0053717781
    6.4298850000           0.3547502550         0.0051886514
    6.5002350000           0.3447716012         0.0051151559
    6.5705850000           0.3484842665         0.0051426234
    6.6409350000           0.3364127904         0.0050527683
    6.7112850000           0.3251589013         0.0049675353
    6.7816350000           0.3237401612         0.0049566862
    6.8519850000           0.3224485085         0.0049467883
    6.9223350000           0.3020533681         0.0047877887
    6.9926850000           0.2978995270         0.0047547539
    7.0630350000           0.2982764140         0.0047577607
    7.1333850000           0.2779046475         0.0045924141
    7.2037350000           0.2694585990         0.0045220896
    7.2740850000           0.2612925518         0.0044530406
    7.3444350000           0.2571683531         0.0044177577
    7.4147850000           0.2455181940         0.0043165321
    7.4851350000           0.2321200967         0.0041971018
    7.5554850000           0.2152113999         0.0040413436
    7.6258350000           0.1997337289         0.0038933087
    7.6961850000           0.1921968262         0.0038191458
    7.7665350000           0.1846560572         0.0037434748
    7.8368850000           0.1683175374         0.0035740269
    7.9072350000           0.1485761421         0.0033578993
    7.9775850000           0.1421437473         0.0032844074
    8.0479350000           0.1280275934         0.0031170583
    8.1182850000           0.1214650776         0.0030361194
    8.1886350000           0.1099207845         0.0028882384
    8.2589850000           0.1042400124         0.0028126155
    8.3293350000           0.0941944927         0.0026736582
    8.3996850000           0.0881510399         0.0025864665
    8.4700350000           0.0800343349         0.0024645141
    8.5403850000           0.0729171037         0.0023523820
    8.6107350000           0.0681401931         0.0022740228
    8.6810850000           0.0632494371         0.0021908945
    8.7514350000           0.0607284126         0.0021467877
    8.8217850000           0.0547202515         0.0020378264
    8.8921350000           0.0529450084         0.0020044981
    8.9624850000           0.0485599553         0.0019196952
