# Energy loss (eV)	Intensity (arb. units)	Error bar
   -3.5108875000           0.0001668562         0.0000962797
   -3.4411375000           0.0001048056         0.0000763055
   -3.3713875000           0.0000142881         0.0000281741
   -3.3016375000           0.0001169070         0.0000805905
   -3.2318875000           0.0002688398         0.0001222111
   -3.1621375000           0.0001804352         0.0001001208
   -3.0923875000           0.0003155097         0.0001323946
   -3.0226375000           0.0002780376         0.0001242841
   -2.9528875000           0.0002759146         0.0001238087
   -2.8831375000           0.0004470825         0.0001576005
   -2.8133875000           0.0003874472         0.0001467135
   -2.7436375000           0.0002419969         0.0001159494
   -2.6738875000           0.0005242790         0.0001706652
   -2.6041375000           0.0002932543         0.0001276398
   -2.5343875000           0.0002751493         0.0001236369
   -2.4646375000           0.0002338348         0.0001139773
   -2.3948875000           0.0002162104         0.0001095979
   -2.3251375000           0.0003223327         0.0001338184
   -2.2553875000           0.0002463566         0.0001169892
   -2.1856375000           0.0002586063         0.0001198625
   -2.1158875000           0.0004016088         0.0001493707
   -2.0461375000           0.0005469502         0.0001743162
   -1.9763875000           0.0002889247         0.0001266940
   -1.9066375000           0.0002271116         0.0001123268
   -1.8368875000           0.0003068788         0.0001305711
   -1.7671375000           0.0002920584         0.0001273792
   -1.6973875000           0.0003731842         0.0001439877
   -1.6276375000           0.0003490436         0.0001392527
   -1.5578875000           0.0002323996         0.0001136270
   -1.4881375000           0.0003729807         0.0001439484
   -1.4183875000           0.0003048153         0.0001301314
   -1.3486375000           0.0005258290         0.0001709173
   -1.2788875000           0.0003509089         0.0001396243
   -1.2091375000           0.0004699483         0.0001615804
   -1.1393875000           0.0003589841         0.0001412217
   -1.0696375000           0.0003190672         0.0001331389
   -0.9998875000           0.0002295464         0.0001129273
   -0.9301375000           0.0002356812         0.0001144264
   -0.8603875000           0.0003143015         0.0001321408
   -0.7906375000           0.0002249647         0.0001117946
   -0.7208875000           0.0002978096         0.0001286273
   -0.6511375000           0.0004630333         0.0001603873
   -0.5813875000           0.0002935266         0.0001276990
   -0.5116375000           0.0003040062         0.0001299586
   -0.4418875000           0.0008154445         0.0002128438
   -0.3721375000           0.0005187061         0.0001697557
   -0.3023875000           0.0008225455         0.0002137685
   -0.2326375000           0.0007271051         0.0002009844
   -0.1628875000           0.0006674275         0.0001925599
   -0.0931375000           0.0022647515         0.0003547105
   -0.0233875000           0.0240062391         0.0011548506
    0.0463625000           0.0108125200         0.0007750455
    0.1161125000           0.0015909487         0.0002972979
    0.1858625000           0.0012029857         0.0002585199
    0.2556125000           0.0011001511         0.0002472236
    0.3253625000           0.0010589009         0.0002425445
    0.3951125000           0.0010938185         0.0002465110
    0.4648625000           0.0016372455         0.0003015926
    0.5346125000           0.0016693688         0.0003045369
    0.6043625000           0.0017892530         0.0003152823
    0.6741125000           0.0024150647         0.0003662926
    0.7438625000           0.0028466648         0.0003976783
    0.8136125000           0.0029995941         0.0004082207
    0.8833625000           0.0038069741         0.0004598897
    0.9531125000           0.0049301087         0.0005233497
    1.0228625000           0.0058871279         0.0005718939
    1.0926125000           0.0070948398         0.0006278199
    1.1623625000           0.0085075313         0.0006874886
    1.2321125000           0.0091634880         0.0007135003
    1.3018625000           0.0113517724         0.0007941373
    1.3716125000           0.0111108551         0.0007856651
    1.4413625000           0.0139321835         0.0008797785
    1.5111125000           0.0135479232         0.0008675612
    1.5808625000           0.0142891552         0.0008909781
    1.6506125000           0.0144464255         0.0008958678
    1.7203625000           0.0147303646         0.0009046290
    1.7901125000           0.0141840931         0.0008876966
    1.8598625000           0.0126415304         0.0008380377
    1.9296125000           0.0124421282         0.0008314020
    1.9993625000           0.0144285038         0.0008953120
    2.0691125000           0.0138213054         0.0008762707
    2.1388625000           0.0132931937         0.0008593665
    2.2086125000           0.0146368746         0.0009017537
    2.2783625000           0.0132651352         0.0008584591
    2.3481125000           0.0154244494         0.0009256964
    2.4178625000           0.0142268240         0.0008890327
    2.4876125000           0.0161258817         0.0009465106
    2.5573625000           0.0181823565         0.0010050527
    2.6271125000           0.0190227431         0.0010280171
    2.6968625000           0.0213821120         0.0010899060
    2.7666125000           0.0225789396         0.0011199935
    2.8363625000           0.0261553361         0.0012054353
    2.9061125000           0.0300888946         0.0012929057
    2.9758625000           0.0313357692         0.0013194226
    3.0456125000           0.0369915946         0.0014335580
    3.1153625000           0.0386369904         0.0014650937
    3.1851125000           0.0409228211         0.0015078097
    3.2548625000           0.0450695890         0.0015823609
    3.3246125000           0.0414973264         0.0015183567
    3.3943625000           0.0431936004         0.0015490786
    3.4641125000           0.0419367097         0.0015263739
    3.5338625000           0.0392469746         0.0014766135
    3.6036125000           0.0403128901         0.0014965310
    3.6733625000           0.0411918918         0.0015127586
    3.7431125000           0.0378231030         0.0014495805
    3.8128625000           0.0335004235         0.0013642341
    3.8826125000           0.0350181573         0.0013947950
    3.9523625000           0.0341020080         0.0013764287
    4.0221125000           0.0331454111         0.0013569863
    4.0918625000           0.0273515083         0.0012326915
    4.1616125000           0.0258208093         0.0011977017
    4.2313625000           0.0259626459         0.0012009868
    4.3011125000           0.0258466163         0.0011983001
    4.3708625000           0.0265041817         0.0012134474
    4.4406125000           0.0239343643         0.0011531205
    4.5103625000           0.0244785935         0.0011661569
    4.5801125000           0.0250086669         0.0011787156
    4.6498625000           0.0237158519         0.0011478446
    4.7196125000           0.0246294422         0.0011697446
    4.7893625000           0.0232116557         0.0011355776
    4.8591125000           0.0219914970         0.0011053279
    4.9288625000           0.0231197204         0.0011333265
    4.9986125000           0.0228399401         0.0011264482
    5.0683625000           0.0214826982         0.0010924666
    5.1381125000           0.0218084557         0.0011007183
    5.2078625000           0.0226208395         0.0011210322
    5.2776125000           0.0213373494         0.0010887646
    5.3473625000           0.0233999885         0.0011401751
    5.4171125000           0.0228289221         0.0011261765
    5.4868625000           0.0216755553         0.0010973593
    5.5566125000           0.0244468011         0.0011653993
    5.6263625000           0.0219531310         0.0011043633
    5.6961125000           0.0225615822         0.0011195630
    5.7658625000           0.0231495177         0.0011340566
    5.8356125000           0.0217684392         0.0010997080
    5.9053625000           0.0249992493         0.0011784936
    5.9751125000           0.0214146035         0.0010907338
    6.0448625000           0.0224958048         0.0011179298
    6.1146125000           0.0240020218         0.0011547492
    6.1843625000           0.0249114371         0.0011764220
    6.2541125000           0.0233653925         0.0011393320
    6.3238625000           0.0241331602         0.0011578994
    6.3936125000           0.0243543122         0.0011631927
    6.4633625000           0.0258468355         0.0011983052
