# Energy loss (eV)	Intensity (arb. units)	Error bar
   -4.4067125000           0.0002619476         0.0001206343
   -4.3369625000           0.0001897909         0.0001026837
   -4.2672125000           0.0000961714         0.0000730949
   -4.1974625000           0.0003106215         0.0001313649
   -4.1277125000           0.0004391687         0.0001561994
   -4.0579625000           0.0009844044         0.0002338571
   -3.9882125000           0.0005561097         0.0001757697
   -3.9184625000           0.0006166646         0.0001850923
   -3.8487125000           0.0007505345         0.0002041969
   -3.7789625000           0.0007610075         0.0002056166
   -3.7092125000           0.0009948302         0.0002350922
   -3.6394625000           0.0008758445         0.0002205856
   -3.5697125000           0.0008303682         0.0002147826
   -3.4999625000           0.0007370779         0.0002023580
   -3.4302125000           0.0006108622         0.0001842194
   -3.3604625000           0.0008045332         0.0002114150
   -3.2907125000           0.0008937907         0.0002228341
   -3.2209625000           0.0006790641         0.0001942313
   -3.1512125000           0.0009782457         0.0002331244
   -3.0814625000           0.0004949289         0.0001658193
   -3.0117125000           0.0009937302         0.0002349622
   -2.9419625000           0.0011414560         0.0002518218
   -2.8722125000           0.0005827780         0.0001799349
   -2.8024625000           0.0003913039         0.0001474419
   -2.7327125000           0.0007308488         0.0002015011
   -2.6629625000           0.0007237435         0.0002005193
   -2.5932125000           0.0006479429         0.0001897283
   -2.5234625000           0.0007757236         0.0002075952
   -2.4537125000           0.0006544428         0.0001906776
   -2.3839625000           0.0008150804         0.0002127963
   -2.3142125000           0.0009602740         0.0002309731
   -2.2444625000           0.0006695969         0.0001928726
   -2.1747125000           0.0007557153         0.0002049004
   -2.1049625000           0.0006500679         0.0001900392
   -2.0352125000           0.0010234684         0.0002384520
   -1.9654625000           0.0009817497         0.0002335415
   -1.8957125000           0.0010206777         0.0002381267
   -1.8259625000           0.0012415377         0.0002626296
   -1.7562125000           0.0006616890         0.0001917303
   -1.6864625000           0.0010179847         0.0002378123
   -1.6167125000           0.0012647642         0.0002650749
   -1.5469625000           0.0010402234         0.0002403959
   -1.4772125000           0.0008591649         0.0002184751
   -1.4074625000           0.0012130233         0.0002595962
   -1.3377125000           0.0013339578         0.0002722293
   -1.2679625000           0.0013190430         0.0002707031
   -1.1982125000           0.0011363138         0.0002512539
   -1.1284625000           0.0029324711         0.0004036274
   -1.0587125000           0.0012125874         0.0002595496
   -0.9889625000           0.0012598717         0.0002645617
   -0.9192125000           0.0008636655         0.0002190466
   -0.8494625000           0.0013149918         0.0002702871
   -0.7797125000           0.0014064636         0.0002795297
   -0.7099625000           0.0011786709         0.0002558940
   -0.6402125000           0.0014187439         0.0002807474
   -0.5704625000           0.0016156340         0.0002995955
   -0.5007125000           0.0016148465         0.0002995224
   -0.4309625000           0.0008843323         0.0002216519
   -0.3612125000           0.0020100113         0.0003341666
   -0.2914625000           0.0017316233         0.0003101633
   -0.2217125000           0.0016907023         0.0003064766
   -0.1519625000           0.0016313817         0.0003010520
   -0.0822125000           0.0051272155         0.0005337090
   -0.0124625000           0.0326740635         0.0013473031
    0.0572875000           0.0175071215         0.0009862139
    0.1270375000           0.0083545383         0.0006812790
    0.1967875000           0.0071893940         0.0006319895
    0.2665375000           0.0106254380         0.0007683112
    0.3362875000           0.0128544360         0.0008450653
    0.4060375000           0.0193446292         0.0010366782
    0.4757875000           0.0228359604         0.0011263501
    0.5455375000           0.0302437248         0.0012962280
    0.6152875000           0.0320115436         0.0013335738
    0.6850375000           0.0342825011         0.0013800664
    0.7547875000           0.0370900240         0.0014354640
    0.8245375000           0.0395787679         0.0014828420
    0.8942875000           0.0360619262         0.0014154294
    0.9640375000           0.0374274051         0.0014419779
    1.0337875000           0.0359774749         0.0014137711
    1.1035375000           0.0345962417         0.0013863670
    1.1732875000           0.0343154028         0.0013807285
    1.2430375000           0.0363972999         0.0014219959
    1.3127875000           0.0350493258         0.0013954156
    1.3825375000           0.0368944109         0.0014316737
    1.4522875000           0.0359379179         0.0014129936
    1.5220375000           0.0420564558         0.0015285515
    1.5917875000           0.0424802893         0.0015362344
    1.6615375000           0.0480964974         0.0016346338
    1.7312875000           0.0484140424         0.0016400210
    1.8010375000           0.0563103879         0.0017687156
    1.8707875000           0.0658536071         0.0019127294
    1.9405375000           0.0782396803         0.0020848618
    2.0102875000           0.0918085838         0.0022584235
    2.0800375000           0.0996805377         0.0023532547
    2.1497875000           0.1141605359         0.0025183828
    2.2195375000           0.1276245853         0.0026627532
    2.2892875000           0.1327713875         0.0027159139
